洛客众创文创团队<!sp>文创设计总监<!sp>8k-15k<!sp>北京<!sp>经验3-5年<!sp>'产品经理,产品设计,工业设计师'<!sp>2天前<!sp>拉勾网<!sp>'免费零食,氛围MAX,高逼格环境,后花园'<!sp>'设计能力,逻辑思维能力,创新能力,沟通表达能力,美术功底,领导能力,常用办公软件的使用,审美能力,责任心,文案能力,团队协作能力,抗压能力'<!sp>北京 - 朝阳区 - 太阳宫 - 北四环东路6号院洛客大厦
美篇设计部<!sp>设计总监<!sp>40k-60k<!sp>北京<!sp>经验5-10年<!sp>'移动互联网,总监,设计'<!sp>1天前<!sp>拉勾网<!sp>'10点上班,工作日出游,扁平管理,牛人多'<!sp>'领导能力,设计能力,团队协作能力,钻研能力,美术功底,领悟能力,抗压能力,责任心,工作激情,沟通表达能力,创新能力'<!sp>北京 - 海淀区 - 知春路 - 知春路量子芯座20层
TAPOLE营销部<!sp>空间设计总监<!sp>15k-20k<!sp>深圳<!sp>经验5-10年<!sp>'装修装潢,室内设计,设计,零售,空间,建筑'<!sp>09:15<!sp>拉勾网<!sp>'团队懂设计,获得尊重'<!sp>'设计能力'<!sp>深圳市市市 - 南山区 - 南头 - 翡翠明珠写字楼 TAPOLE 体验中心
念响新媒体视觉事业部<!sp>设计总监<!sp>6k-12k<!sp>佛山<!sp>经验5-10年<!sp>'总监,策划,平面广告'<!sp>2017-12-28<!sp>拉勾网<!sp>'五险一金,带薪年假,各种激励奖,年底奖金'<!sp>'团队协作能力,常用办公软件的使用,设计能力,审美能力,性格好,领悟能力,沟通表达能力'<!sp>佛山 - 禅城区 - 石湾 - 季华路创意产业园29号楼1017
商派软件设计部<!sp>设计总监<!sp>20k-25k<!sp>上海<!sp>经验3-5年<!sp>'总监,UI,UED,交互'<!sp>1天前<!sp>拉勾网<!sp>'发展前景好'<!sp>'创新能力,美术功底,设计能力,领悟能力,专业素质良好,团队协作能力,常用办公软件的使用'<!sp>上海 - 徐汇区 - 田林 - 桂林路396号1号楼
火币网技术部<!sp>设计总监<!sp>10k-20k<!sp>成都<!sp>经验3-5年<!sp>'总监,资深,金融,UI,UED,交互'<!sp>2天前<!sp>拉勾网<!sp>'晋升机会,五险一金,下午茶等'<!sp>'美术功底,设计能力,职业操守,领悟能力,专业素质良好,责任心,工作激情,团队协作能力'<!sp>成都 - 高新区 - 交子大道333号中海国际E座
OUTMAN淘汰郎设计部<!sp>设计总监<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'平面,品牌,包装,创意,本地生活,广告'<!sp>2018-01-18<!sp>拉勾网<!sp>'初创公司,品类冠军,股东牛'<!sp>'美术创作能力,专业素质良好,美术功底,设计能力'<!sp>北京 - 朝阳区 - 八里庄 - 远洋国际中心D座906室
象宿网络设计中心<!sp>民宿设计总监<!sp>8k-16k<!sp>北京<!sp>经验5-10年<!sp>'工业设计,展览,项目管理'<!sp>2天前<!sp>拉勾网<!sp>'薪酬高,高级管理'<!sp>'美术功底,设计能力,美术创作能力,常用办公软件的使用,专业素质良好,钻研能力,创新能力,领导能力,团队协作能力,形象气质佳,思想品质,领悟能力,执行能力,逻辑思维能力'<!sp>北京 - 海淀区 - 西直门 - 远洋风景9号楼
车来了共享汽车<!sp>设计总监<!sp>15k-25k<!sp>杭州<!sp>经验5-10年<!sp>'广告营销,汽车,产品设计,工业设计'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,绩效奖金,期权激励,团队氛围好'<!sp>'美术功底,设计能力,领悟能力,团队协作能力,沟通表达能力,领导能力'<!sp>杭州 - 西湖区 - 西湖 - 天目山路217号江南电子大厦1202室
西安博达软件项目中心<!sp>web设计总监<!sp>15k-20k<!sp>西安<!sp>经验3-5年<!sp>'移动互联网,总监,网页,UI,设计,UED'<!sp>08:45<!sp>拉勾网<!sp>'双休,弹性工作,免费班车,六险一金'<!sp>'美术功底,设计能力,沟通表达能力,团队协作能力,创新能力,常用办公软件的使用,专业素质良好,逻辑思维能力,领导能力,主动性,服务意识,思想品质'<!sp>西安 - 高新技术产业开发区 - 锦业路125号西安半导体产业园A栋13层
华迪装饰集团设计中心<!sp>设计总监<!sp>8k-10k<!sp>合肥<!sp>经验3-5年<!sp>'总监,项目管理,展览'<!sp>2天前<!sp>拉勾网<!sp>'绩效奖金,出国机会,五险一金,年终奖金'<!sp>'设计能力,团队协作能力,领导能力,创新能力,执行能力,学习能力,主动性,责任心,沟通表达能力'<!sp>合肥 - 包河区 - 卫岗 - 徽州大道与望江路交口东北角
好唱开发<!sp>设计总监<!sp>10k-15k<!sp>重庆<!sp>经验3-5年<!sp>''<!sp>2天前<!sp>拉勾网<!sp>'各色小鲜肉漂亮妹纸零食下午茶福利应接不暇'<!sp>'设计能力,执行能力,团队协作能力,创新能力,美术功底,专业素质良好,逻辑思维能力,沟通表达能力,审美能力,抗压能力'<!sp>重庆 - 渝北区 - 洋河花园 - 五红路199号长都商务大厦15楼
