小窝金服运营中心<!sp>运营总监<!sp>25k-35k<!sp>深圳<!sp>经验5-10年<!sp>'媒体,总监,金融,活动运营,电商'<!sp>09:30<!sp>拉勾网<!sp>'消费金融,银行家装贷,垂直领域,平台空间大'<!sp>'团队协作能力,服务意识,逻辑思维能力,领导能力,执行能力,抗压能力,沟通表达能力'<!sp>深圳 - 南山区 - 科技园 - 科技路1号桑达科技大厦2A16室
祺曜互娱海南祺曜互动娱乐有限公司广州分公司<!sp>运营总监<!sp>15k-25k<!sp>广州<!sp>经验3-5年<!sp>'游戏'<!sp>10:23<!sp>拉勾网<!sp>'内部培训,优秀团队,带薪年假'<!sp>'执行能力,团队协作能力,常用办公软件的使用,专业素质良好'<!sp>广州市 - 天河区 - 东圃 - 羊城创意园1-14栋
杭州骑迹市场运营中心<!sp>运营总监<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'总监,资深,副总裁,运营,智能硬件,电商'<!sp>09:38<!sp>拉勾网<!sp>'商业保险,扁平化管理'<!sp>'设计能力,领悟能力,团队协作能力,逻辑思维能力,专业素质良好,学习能力,领导能力,沟通表达能力,创新能力,良好的职业背景'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1288号海创科技中心2幢18层
盼达用车运维部<!sp>运营总监<!sp>16k-20k<!sp>郑州<!sp>经验1-3年<!sp>'副总裁,总监,活动运营,数据分析'<!sp>11:45<!sp>拉勾网<!sp>'双休,五险一金,弹性工作制,带薪年假'<!sp>'熟悉法律法规,领导能力,团队协作能力,专业素质良好,应变能力,学习能力,上进心,创新能力,能出差,有驾照'<!sp>郑州 - 郑东新区 - - 东风南路康宁街交叉口互联网金融大厦12B层1406室
贝多多运营推广部<!sp>运营总监<!sp>20k-30k<!sp>深圳<!sp>经验5-10年<!sp>'高级,数据,金融,运营,产品,app'<!sp>09:42<!sp>拉勾网<!sp>'有期权,团队牛,无天花板,牛逼项目'<!sp>'逻辑思维能力,领导能力,责任心,服务意识,沟通表达能力,团队协作能力,抗压能力,学习能力'<!sp>深圳 - 南山区 - 深圳市南山区粤海街道科技路9号桑达科技工业大厦225室
象聚集团保险岛<!sp>运营总监<!sp>20k-40k<!sp>郑州<!sp>经验5-10年<!sp>'总监,金融,活动运营'<!sp>1天前<!sp>拉勾网<!sp>'高管,期权,双休,六险一金'<!sp>'执行能力,创新能力,逻辑思维能力,沟通表达能力,团队协作能力,领悟能力,抗压能力,领导能力'<!sp>郑州 - 高新区 - 瑞达路翠竹街企业总部基地3号楼
绿漫科技平台运营部<!sp>运营总监<!sp>20k-33k<!sp>杭州<!sp>经验5-10年<!sp>'运营,总监,电商'<!sp>09:26<!sp>拉勾网<!sp>'发展空间大,扁平管理,起点高'<!sp>'团队协作能力,逻辑思维能力,领导能力,执行能力,创新能力'<!sp>杭州 - 余杭区 - 仓前 - 五常街道文一西路998号4号楼
江苏新景祥运营<!sp>运营总监<!sp>15k-25k<!sp>合肥<!sp>经验3-5年<!sp>'本地生活,总监,数据,运营,网站,活动'<!sp>09:22<!sp>拉勾网<!sp>'五险一金,绩效奖金,定期体检,带薪年假'<!sp>'沟通表达能力,逻辑思维能力,团队协作能力,专业素质良好,领悟能力,执行能力,开拓精神'<!sp>合肥 - 政务文化新区 - 濉溪路 - 龙图路666号置地广场C座
北京极智汇运营部<!sp>运营总监<!sp>20k-30k<!sp>深圳<!sp>经验5-10年<!sp>'总监,运营,用户,用户增长,电商,渠道'<!sp>1天前<!sp>拉勾网<!sp>'地铁旁,潜力大,氛围好'<!sp>'团队协作能力,逻辑思维能力,专业素质良好,钻研能力,沟通表达能力,学习能力,创新能力'<!sp>深圳 - 南山区 - 科技园 - 深圳南山区南山科技园高新技术工业村R2
苏宁云商<!sp>运营总监<!sp>20k-40k<!sp>南京<!sp>经验5-10年<!sp>'本地生活,总监,资深,高级,运营,电商'<!sp>2天前<!sp>拉勾网<!sp>'平台广阔,技术氛围好,薪资福利丰厚'<!sp>'沟通表达能力,服务意识,领悟能力,文案能力,常用办公软件的使用,人脉资源'<!sp>南京 - 玄武区 - 苏宁大道1号
