千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
百度Hao123基础业务部<!sp>机器学习/算法<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'机器学习,大数据,数据挖掘,自然语言处理'<!sp>2018-01-09<!sp>拉勾网<!sp>'BAT,成长空间大,福利多多'<!sp>''<!sp>北京 - 海淀区 - 西二旗 - 百度大厦
神策网络科技研发部<!sp>机器学习研发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'高级,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛,弹性工作'<!sp>'逻辑思维能力,学习能力,主动性'<!sp>北京 - 海淀区 - 五道口 - 王庄路清华同方科技广场D座东楼19层
便利蜂技术部<!sp>算法工程师-机器学习研究员<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'建模,算法,机器学习,数据分析,数据挖掘'<!sp>2018-01-18<!sp>拉勾网<!sp>'机器学习,数据挖掘'<!sp>'学习能力,钻研能力,逻辑思维能力,良好的职业背景,团队协作能力,专业素质良好'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路12号冠城大厦10层
爱特曼科技开发部<!sp>机器学习助理工程师<!sp>18k-30k<!sp>北京<!sp>经验1年以下<!sp>'初级,算法,机器学习,深度学习,NLP,人工智能'<!sp>3天前<!sp>拉勾网<!sp>'高薪,福利待遇优,人性化管理,前景广阔'<!sp>''<!sp>北京 - 海淀区 - 蓟门桥 - 学院路甲5号768创意产业园A座2号门4层
AKULAKU数据部门<!sp>机器学习工程师<!sp>20k-40k<!sp>深圳<!sp>经验1-3年<!sp>'算法,爬虫,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'薪资高,年终多,有期权'<!sp>'设计能力,逻辑思维能力,专业素质良好,学习能力,工作激情'<!sp>深圳 - 南山区 - 南油 - 阳光华艺大厦6EF
中移在线服务有限公司互联网运营中心<!sp>机器学习（工作地：北京/郑州）<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,中级,算法,机器学习,教育'<!sp>1天前<!sp>拉勾网<!sp>'扁平,领导好,机会大,福利好'<!sp>'逻辑思维能力'<!sp>北京 - 西城区 - 北京
新智超脑<!sp>机器学习/深度学习 算法工...<!sp>25k-50k<!sp>北京<!sp>经验5-10年<!sp>'数据分析,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>2018-01-21<!sp>拉勾网<!sp>'万人集团,人工智能,大数据,大牛云集'<!sp>'学习能力,逻辑思维能力,美术功底,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 摩托罗拉大厦7层
百度外卖技术部<!sp>机器学习/推荐算法/搜索算...<!sp>25k-40k<!sp>北京<!sp>经验3-5年<!sp>'搜索,数据挖掘,机器学习,深度学习,推荐,物流'<!sp>2018-01-09<!sp>拉勾网<!sp>'福利健全,弹性'<!sp>'逻辑思维能力,学习能力,良好的职业背景'<!sp>北京 - 海淀区 - 西北旺 - 中国电子彩虹集团
华院数据华院数据<!sp>高级机器学习工程师<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'机器学习'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大'<!sp>'学习能力,逻辑思维能力,美术功底,主动性,专业素质良好,团队协作能力,创新能力,常用办公软件的使用'<!sp>上海 - 杨浦区 - 政立路477号
茄子快传技术部<!sp>机器学习工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,算法,机器学习,大数据,数据挖掘'<!sp>2018-01-19<!sp>拉勾网<!sp>'发展空间大,团队氛围好,薪资待遇优'<!sp>'逻辑思维能力,设计能力,学习能力'<!sp>北京 - 海淀区 - 西北旺 - 中关村软件园23号楼
快手研发部<!sp>机器学习研究员J10174<!sp>30k-50k<!sp>北京<!sp>经验不限<!sp>'数据分析,云计算,算法,机器学习,模式识别,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'发展空间大,技术大牛多,团队氛围好'<!sp>''<!sp>北京市 - 海淀区 - 中关村 - 北京市海淀区清华科技园
360网络安全研究院<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'大数据,数据分析,数据挖掘,安全,网络安全,信息安全'<!sp>2018-01-09<!sp>拉勾网<!sp>'发展前景好'<!sp>''<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥6号院电子城国际电子总部奇虎360大厦
美团点评餐饮平台<!sp>无人车-机器学习/深度学习...<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,深度学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'无人车,人工智能,前沿挑战,大场景'<!sp>''<!sp>北京 - 朝阳区 - 望京东路科创大厦
百度凤巢<!sp>机器学习/数据挖掘工程师（...<!sp>20k-35k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,算法,机器学习,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,下午茶,健身房,公司氛围好'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 科技园
深圳金夸克数字科技有限公司交易部<!sp>机器学习<!sp>15k-20k<!sp>深圳<!sp>经验3-5年<!sp>'金融,算法,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,节日福利,周末双休'<!sp>'设计能力,学习能力,逻辑思维能力,钻研能力'<!sp>深圳 - 罗湖区 - 清水河 - 中设广场
竹间智能科技(上海)有限公司<!sp>机器学习工程师（北京）<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,NLP,人工智能,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,股票期权,弹性工作,六险一金'<!sp>'领悟能力,逻辑思维能力,学习能力,服务意识,专业素质良好,良好的职业背景'<!sp>北京 - 海淀区 - 五道口 - 王庄路1号院清华同方科技广场
数美研发部<!sp>高级机器学习研发工程师<!sp>30k-60k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,金融,算法,NLP,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'海量数据,顶级团队,大佬领投,飞速发展'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好,自我管理能力,工作激情,思想品质'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
第三石科技技术部<!sp>机器学习研发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'专家,资深,中级,机器学习,深度学习,自然语言处理'<!sp>2018-01-19<!sp>拉勾网<!sp>'扁平化的管理,活跃的技术氛围,股票期权'<!sp>''<!sp>北京 - 朝阳区 - 望京 - 望京SOHO
智慧星光技术中心<!sp>自然语言/NLP/数据挖掘/算...<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'搜索,算法,数据挖掘,机器学习,推荐,NLP'<!sp>1天前<!sp>拉勾网<!sp>'技术牛,技术氛围好'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,沟通表达能力,团队协作能力'<!sp>北京市 - 海淀区 - 中关村 - 辉煌时代大厦
小米商业产品<!sp>机器学习/大数据开发/高性...<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,spark,机器学习,大数据'<!sp>2018-01-21<!sp>拉勾网<!sp>'期权'<!sp>'设计能力,学习能力,服务意识,专业素质良好,逻辑思维能力,美术功底,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 清河 - 清河中街68号华润五彩城
北京三星通信研究院研发部<!sp>机器学习与图像识别算法工...<!sp>15k-25k<!sp>北京<!sp>经验不限<!sp>'图像处理,机器学习,深度学习,图形处理,计算机视觉,模式识别'<!sp>2018-01-09<!sp>拉勾网<!sp>'500强,人工智能,弹性工作,技术氛围'<!sp>''<!sp>北京 - 朝阳区 - 太阳宫 - 十号线太阳宫地铁站C口
众安保险信息科技<!sp>机器学习开发（数科室）<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'发展机会多'<!sp>'逻辑思维能力,学习能力,设计能力,专业素质良好,钻研能力,抗压能力'<!sp>上海 - 黄浦区 - 外滩 - 协进大楼4楼
荔枝<!sp>机器学习工程师<!sp>15k-30k<!sp>广州<!sp>经验1-3年<!sp>'算法,机器学习,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'亿量级用户产品等你来发挥！绩效奖金丰厚！'<!sp>'学习能力,主动性,自我管理能力'<!sp>广州 - 天河区 - 棠下 - 黄埔大道中羊城创意产业园
闪送大数据研究院<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'晋升快,发展多,机会多'<!sp>'学习能力,逻辑思维能力,专业素质良好,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 西北旺 - 博彦科技大厦
猫眼电影<!sp>机器学习、数据挖掘算法工...<!sp>15K-30K<!sp>北京<!sp>经验不限<!sp>'算法,数据挖掘,机器学习,大数据'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作'<!sp>'逻辑思维能力,钻研能力,学习能力,常用办公软件的使用,责任心,沟通表达能力,思想品质,执行能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京东路4号科创大厦
东芝(中国)有限公司东芝研发中心<!sp>深度学习/机器学习研究员<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'资深,算法,数据挖掘,深度学习,人工智能,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作,带薪年假,出国机会,内部培训'<!sp>'逻辑思维能力,领悟能力,专业素质良好,学习能力,良好的职业背景,英语基础,沟通表达能力,抗压能力,责任心,团队协作能力'<!sp>北京 - 朝阳区 - 三元桥 - 东方东路19号亮马桥外交办公大楼D1座1401室
美团点评美团平台<!sp>机器学习/深度学习算法专家<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'专家,资深,高级,算法,机器学习,深度学习'<!sp>2018-01-16<!sp>拉勾网<!sp>'大牛坐镇,团队氛围好,发挥空间大'<!sp>'学习能力,专业素质良好,钻研能力'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园
麦仑科技计算机视觉算法开发<!sp>机器学习开发工程师<!sp>10k-20k<!sp>广州<!sp>经验1-3年<!sp>'资深,计算机视觉,图像识别,图像算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,五险一金,带薪年假,美味午餐'<!sp>'领悟能力,服务意识,逻辑思维能力,学习能力,设计能力,文案能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>广州 - 天河区 - 冼村 - 花城大道85号高德置地春广场A座2304室。
百度云计算事业部<!sp>机器学习/深度学习工程师<!sp>10k-15k<!sp>北京<!sp>经验1-3年<!sp>'机器学习,深度学习,人工智能'<!sp>2018-01-09<!sp>拉勾网<!sp>'大平台'<!sp>''<!sp>北京 - 海淀区 - 西二旗 - 百度大厦
Hypers<!sp>机器学习<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'.NET'<!sp>1天前<!sp>拉勾网<!sp>'良好的技术氛围,循循善导的导师'<!sp>'逻辑思维能力,钻研能力,学习能力,设计能力,抗压能力,思想品质,团队协作能力'<!sp>上海 - 虹口区 - 四川北路 - 溧阳路735号1号楼2层
阿里文娱数据智能<!sp>优酷-机器学习/深度学习工...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,图像处理,机器学习,推荐,计算机视觉,模式识别'<!sp>2018-01-16<!sp>拉勾网<!sp>'平台大,大牛多,福利好,学习机会'<!sp>'美术功底,学习能力,逻辑思维能力'<!sp>北京 - 海淀区 - 中关村 - 海淀大街8号中钢国际广场
人人行(借贷宝)<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'量化投资'<!sp>'学习能力,逻辑思维能力,团队协作能力,设计能力,领悟能力,创新能力'<!sp>北京 - 朝阳区 - 北苑 - 仰山公园东一门2号楼借贷宝
爱卡汽车研发中心 数据研发<!sp>机器学习工程师<!sp>20K-30K<!sp>北京<!sp>经验3-5年<!sp>'文本挖掘,spark,算法,推荐,深度学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'发展前景'<!sp>'逻辑思维能力,学习能力,专业素质良好,领悟能力,团队协作能力,沟通表达能力'<!sp>北京 - 朝阳区 - - 盘古大观
vivo软件部<!sp>机器学习/深度学习工程师<!sp>20k-40k<!sp>深圳<!sp>经验不限<!sp>'深度学习,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'福利好,平台大,vivo,工作氛围赞'<!sp>'逻辑思维能力,学习能力,创新能力'<!sp>深圳 - 福田区 - 上梅林 - 上梅林步步高大楼
贝壳金控产品技术中心<!sp>机器学习研究员<!sp>30k-60k<!sp>北京<!sp>经验不限<!sp>'专家,金融,图像处理,人工智能,机器学习,深度学习'<!sp>2018-01-05<!sp>拉勾网<!sp>'空间大'<!sp>'美术功底,学习能力,逻辑思维能力,领悟能力,文案能力,专业素质良好,创新能力,团队协作能力,常用办公软件的使用'<!sp>北京市 - 朝阳区 - 朝外 - 朝外乙大街12号昆泰国际大厦16层
减约AI中心<!sp>机器学习工程师<!sp>15K-30K<!sp>北京<!sp>经验1-3年<!sp>'资深,高级,机器学习,深度学习,人工智能'<!sp>3天前<!sp>拉勾网<!sp>'行业前景,公司发展'<!sp>'逻辑思维能力,领悟能力,钻研能力,学习能力,主动性,抗压能力,责任心,工作激情,思想品质'<!sp>北京 - 朝阳区 - 望京 - 朝阳区利泽中一路1号博雅国际中心A座
众安保险<!sp>机器学习高级开发<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'高级,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'公司高速发展,薪资福利优渥'<!sp>'逻辑思维能力,学习能力,设计能力,专业素质良好,钻研能力,抗压能力'<!sp>上海 - 黄浦区 - 外滩 - 协进大楼4楼
深圳白骑士大数据有限公司研发<!sp>机器学习工程师<!sp>15k-25k<!sp>深圳<!sp>经验1-3年<!sp>'金融,云计算,算法,机器学习,大数据,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'大数据风控,技术创新,发展空间大'<!sp>'钻研能力,学习能力,逻辑思维能力,服务意识,领悟能力,英语基础,创新能力,沟通表达能力,团队协作能力'<!sp>深圳市市市 - 南山区 - 大冲 - 讯美科技广场3号楼609室
海致研发部<!sp>机器学习工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'机器学习,大数据,数据分析,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'技术挑战,核心团队'<!sp>'学习能力,逻辑思维能力,抗压能力,开拓精神,团队协作能力,创新能力,自我管理能力,沟通表达能力'<!sp>北京 - 海淀区 - 清河 - 768创意产业园
创新工场AI工程院创新工场AI工程院<!sp>机器学习算法工程师<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'顶尖大牛,成长机会,商业资源多,工作环境棒'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 海淀区 - 颐和园 - 鼎好大厦A座10层
金山云政企及医疗事业部<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验1年以下<!sp>'python,机器学习,大数据,医疗健康,自然语言处理'<!sp>2018-01-08<!sp>拉勾网<!sp>'学霸部门'<!sp>'专业素质良好,学习能力,设计能力'<!sp>北京 - 海淀区 - 上地 - 小营西路33号 金山软件大厦
美团点评外卖配送事业群<!sp>机器学习技术专家<!sp>30K-60K<!sp>北京<!sp>经验5-10年<!sp>'专家,总监,资深,算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'集团核心获奖算法团队,外卖配送的超级大脑'<!sp>'逻辑思维能力,主动性,沟通表达能力,良好的职业背景,学习能力,专业素质良好,领悟能力,设计能力,钻研能力'<!sp>北京 - 朝阳区 - 望京 - 望京科创大厦
百度云计算事业部<!sp>机器学习/深度学习研究员JD<!sp>12k-20k<!sp>北京<!sp>经验1-3年<!sp>'高级,机器学习,深度学习,人工智能'<!sp>2017-12-28<!sp>拉勾网<!sp>'平台大,大厂,福利好'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
贝壳金控产品技术中心<!sp>深度/机器学习研究员<!sp>35k-50k<!sp>北京<!sp>经验5-10年<!sp>'专家,金融,C/C++,linux,机器学习,深度学习'<!sp>2018-01-11<!sp>拉勾网<!sp>'双休,六险一金,车补餐补,工作居住证'<!sp>'美术功底,学习能力,逻辑思维能力,领悟能力,文案能力,专业素质良好,创新能力,团队协作能力,常用办公软件的使用'<!sp>北京市 - 朝阳区 - 朝外 - 北京市朝阳区昆泰国际大厦1612
腾讯医疗产品中心<!sp>高级机器学习工程师<!sp>25k-50k<!sp>深圳<!sp>经验1-3年<!sp>'数据挖掘,机器学习,深度学习,NLP,模式识别,人工智能'<!sp>3天前<!sp>拉勾网<!sp>'腾讯大平台,医疗场景'<!sp>''<!sp>深圳 - 南山区 - 科技园 - 大族科技中心
涂鸦智能开发部<!sp>机器学习/深度学习工程师<!sp>25k-50k<!sp>杭州<!sp>经验1-3年<!sp>'算法,机器学习,深度学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'氛围轻松,行业前景好,产品优秀,精英团队'<!sp>'学习能力,逻辑思维能力,专业素质良好,美术功底,英语基础'<!sp>杭州 - 西湖区 - 古墩路 - 古墩路87号浙商财富中心3号楼7-8层
瞬联软件科技（北京）有限公司软件研发<!sp>机器学习<!sp>10k-20k<!sp>上海<!sp>经验不限<!sp>'python,算法,机器学习,深度学习,人工智能,C++'<!sp>2018-01-18<!sp>拉勾网<!sp>'五险一金,弹性工作,外企氛围,晋升空间大'<!sp>''<!sp>上海 - 长宁区 - 虹桥科技广场
Hellobike哈罗单车技术部<!sp>机器学习<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,深度学习,人工智能'<!sp>2018-01-18<!sp>拉勾网<!sp>'年底双薪'<!sp>''<!sp>上海市 - 闵行区 - 莘庄 - 秀文路西子国际大厦1号楼5楼
蚂蚁金服集团移动事业群<!sp>机器学习高级工程师/技术专家<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,模式识别,大数据,数据挖掘,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'搜索引擎,大咖云集,浓厚氛围,丰厚股票'<!sp>'学习能力,逻辑思维能力,设计能力,钻研能力,专业素质良好,责任心,沟通表达能力,团队协作能力'<!sp>北京市 - 朝阳区 - 望京 - 望京绿地中心
圆马信息研发中心<!sp>机器学习工程师／数据挖掘...<!sp>20k-40k<!sp>莆田<!sp>经验3-5年<!sp>'广告营销,金融,算法,数据挖掘,机器学习'<!sp>2018-01-06<!sp>拉勾网<!sp>'下午茶,年底红包,氛围好,项目奖金'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好,自我管理能力,工作激情,思想品质'<!sp>莆田 - 城厢区 - 喜盈门国际大厦1幢1216室
猎户星空语音技术<!sp>机器学习算法工程师<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,深度学习,音视频处理,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'绩效奖金,午餐补贴,带薪年假,发展前景好'<!sp>'学习能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 团结湖 - 北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层
重庆优启科技有限公司<!sp>大数据/机器学习工程师<!sp>8k-15k<!sp>重庆<!sp>经验1-3年<!sp>'spark,hadoop,机器学习,大数据,数据挖掘,电商'<!sp>1天前<!sp>拉勾网<!sp>'弹性上班,下午茶歇,员工旅游,餐补等'<!sp>'领悟能力,逻辑思维能力,设计能力,学习能力,上进心,专业素质良好'<!sp>重庆 - 渝北区 - 龙溪 - 洪湖西路24号B栋8楼
客知音技术部<!sp>机器学习<!sp>12k-20k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,数据挖掘,机器学习,深度学习,语音处理,人工智能'<!sp>3天前<!sp>拉勾网<!sp>'海量数据,机器学习,大牛手带,硅谷文化'<!sp>''<!sp>北京 - 东城区 - 东直门 - 东直门外大街48号东方银座A座11层C室
网易<!sp>推荐算法/机器学习/数据挖...<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据,算法,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'团队分享,部门旅游,晋升空间,奖金丰厚'<!sp>'逻辑思维能力,学习能力,专业素质良好,责任心,团队协作能力,钻研能力'<!sp>- 西北旺东路10号院 中关村软件园二期西区7号 网易(北京)公司
哔哩哔哩<!sp>机器学习，数据挖掘实习生<!sp>3k-4k<!sp>上海<!sp>经验不限<!sp>'数据,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'哔哩哔哩-90后最爱的弹幕视频网站'<!sp>'逻辑思维能力,学习能力'<!sp>上海 - 浦东新区 - 东外滩 - 国际航运金融大厦
国美金控消费金融<!sp>高级数据科学家（人工智能、...<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'专家,金融,机器学习,人工智能,深度学习'<!sp>2018-01-09<!sp>拉勾网<!sp>'互联网金融,发展空间大,福利待遇优,团队氛围好'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 三元桥 - 鹏润大厦
百度手百&Feeds产品业务部<!sp>手机百度机器学习／数据挖...<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,数据挖掘,大数据,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'核心部门'<!sp>'逻辑思维能力,良好的职业背景,学习能力,专业素质良好'<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
美团点评酒旅事业群<!sp>数据挖掘/机器学习/深度学...<!sp>30k-55k<!sp>北京<!sp>经验不限<!sp>'本地生活,专家,算法,大数据,数据分析,数据挖掘'<!sp>2018-01-15<!sp>拉勾网<!sp>'集团核心,技术大牛,氛围简单,弹性工作'<!sp>'学习能力,逻辑思维能力,专业素质良好,钻研能力,领悟能力'<!sp>北京市 - 朝阳区 - 望京 - 望京国际研发园
腾讯MIG<!sp>MIG03-NLP机器学习工程师/...<!sp>30k-60k<!sp>深圳<!sp>经验3-5年<!sp>'算法,NLP,机器学习,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'NLP,机器学习'<!sp>''<!sp>深圳 - 南山区 - 腾讯大厦
英语流利说算法部门<!sp>机器学习研究员<!sp>25k-50k<!sp>上海<!sp>经验不限<!sp>'高级,算法,机器学习,深度学习,人工智能,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'N+1奖金,顶尖团队,私厨三餐,硅谷系'<!sp>'沟通表达能力,学习能力'<!sp>上海 - 杨浦区 - 周家嘴路 - 大连路970号海上海
房多多<!sp>高级机器学习工程师<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'房产服务,专家,算法,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'平台好,发展快,前景广阔'<!sp>'设计能力,逻辑思维能力,钻研能力,学习能力,专业素质良好'<!sp>上海 - 闸北区 - 汶水路 - 广中西路757号多媒体大厦9楼
凤凰网凤凰新媒体<!sp>机器学习资深工程师<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,人工智能'<!sp>2018-01-11<!sp>拉勾网<!sp>'技术大牛'<!sp>'设计能力,学习能力,逻辑思维能力,良好的职业背景,领悟能力,钻研能力,上进心'<!sp>北京 - 朝阳区 - 望京 - 望京街 中轻大厦
微店技术部<!sp>算法工程师（机器学习方向）...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'竞争力薪资,靠谱团队,带薪年假,丰厚期权'<!sp>'设计能力,学习能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥中路10号星科大厦B座一 层
Gridsum 国双技术部<!sp>机器学习开发工程师<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'机器学习,大数据,数据挖掘'<!sp>2018-01-19<!sp>拉勾网<!sp>'六险一金,奖金丰厚,技术牛人多'<!sp>'逻辑思维能力,领悟能力,良好的职业背景,学习能力'<!sp>上海 - 静安区 - 静安寺 - 上海市静安区南京西路1468号中欣大厦 35、40层
多点Dmall技术中心<!sp>机器学习算法工程师<!sp>15k-30k<!sp>成都<!sp>经验3-5年<!sp>'算法,机器学习,大数据,数据分析,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'机器学习,算法'<!sp>'设计能力,逻辑思维能力,钻研能力,学习能力,专业素质良好,沟通表达能力'<!sp>成都 - 高新区 - 成都市高新区天府大道中段666号希顿国际广场B座8层
ARKie机器学习<!sp>机器学习算法工程师<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'算法,图像处理,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'大牛带飞,人工智能,血厚功高'<!sp>''<!sp>上海 - 黄浦区 - 外滩 - 成都南路142弄6号
转转转转机器学习组<!sp>机器学习平台工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'高级,中级,Java,Scala,hadoop,大数据'<!sp>1天前<!sp>拉勾网<!sp>'空间大,难度高'<!sp>''<!sp>北京 - 海淀区 - 清河 - 西小口路东升科技园
宜信企业发展部<!sp>机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'高级,中级,算法,机器学习,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'六险一金,紧邻地铁,核心团队'<!sp>'学习能力,逻辑思维能力,钻研能力,沟通表达能力,创新能力'<!sp>北京 - 朝阳区 - 大望路 - 西大望路1号温特莱中心A座
疯狂老师研发部<!sp>机器学习算法工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'高级,中级,软件开发,大数据,教育,视频'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,补充医疗,福利超多,弹性上班'<!sp>'学习能力,逻辑思维能力,专业素质良好,团队协作能力,领悟能力,英语基础'<!sp>北京市 - 朝阳区 - 大屯 - 湖景东路7号
顺丰科技有限公司<!sp>机器学习与人工智能高级工...<!sp>20k-40k<!sp>深圳<!sp>经验5-10年<!sp>'机器学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'互联网,集团公司,高薪'<!sp>'逻辑思维能力,良好的职业背景,学习能力,专业素质良好'<!sp>深圳 - 南山区 - 南油 - 软件基地（滨海之窗附近）
阿里巴巴—高德<!sp>机器学习工程师<!sp>30k-50k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,数据挖掘,地图'<!sp>2018-01-02<!sp>拉勾网<!sp>'P6-P8'<!sp>'领悟能力,设计能力,逻辑思维能力,学习能力,沟通表达能力,上进心,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
百度展示广告平台部<!sp>机器学习/数据挖掘工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'python,数据挖掘,机器学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'核心岗位,核心技术,前台大,前景好'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
