千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
Udesk－企业级智能客服平台研发部<!sp>机器学习<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'企业服务,搜索,算法,机器学习,推荐,NLP'<!sp>1天前<!sp>拉勾网<!sp>'团队强悍,待遇丰厚,数据规模,场景明确'<!sp>''<!sp>北京 - 西城区 - 西直门 - 西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）
阳光产险信保事业部风控中心-数据部<!sp>机器学习工程师<!sp>18k-35k<!sp>北京<!sp>经验3-5年<!sp>'金融,算法,大数据,机器学习,数据挖掘,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'年终奖金高,晋升空间大,福利丰厚,领导好'<!sp>'学习能力,钻研能力,逻辑思维能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 联合大厦15层
GrowingIO研发部<!sp>机器学习总监<!sp>60k-70k<!sp>北京<!sp>经验5-10年<!sp>'机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'组建机器学习团队,硅谷科技范儿'<!sp>'学习能力,团队协作能力,设计能力,逻辑思维能力,专业素质良好,良好的职业背景'<!sp>北京 - 朝阳区 - 望京 - 望京阜通东大街12号宝能中心B座10层
天猫云零售事业部<!sp>机器学习/数据挖掘专家<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'资深,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'无限空间,股票期权,年底双薪'<!sp>'钻研能力,逻辑思维能力,创新能力,学习能力,专业素质良好,领导能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 绿地中心
网易电子商务部<!sp>机器学习/自然语言处理算...<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'高级,算法,机器学习,大数据,数据分析,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'平台大,福利多,团队氛围好,牛人多'<!sp>'领悟能力,逻辑思维能力,设计能力,学习能力,钻研能力,良好的职业背景,主动性,英语基础,沟通表达能力,团队协作能力,创新能力'<!sp>北京 - 海淀区 - 西北旺 - 西北旺东路10号院中关村软件园二期西区7号
PALMAX技术部<!sp>机器学习工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,人工智能,大数据'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,试用期全薪,年度旅游体,年终奖'<!sp>'设计能力,钻研能力,学习能力,文案能力,良好的职业背景,领悟能力,逻辑思维能力'<!sp>北京 - 海淀区 - 上地 - 上地东路35号颐泉汇大厦B座622-627
图灵机器人工程部<!sp>机器学习研究员<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'中级,阅读,深度学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'没有考勤,绩效奖金,定期团建,免费图书'<!sp>'团队协作能力,钻研能力,学习能力,逻辑思维能力,专业素质良好,良好的职业背景,常用办公软件的使用,设计能力,英语基础,主动性'<!sp>北京 - 海淀区 - 上地 - 农大南路1号硅谷亮城5号楼103
联想集团BTIT<!sp>机器学习工程师i<!sp>20k-35k<!sp>北京<!sp>经验5-10年<!sp>'数据分析,算法,数据挖掘,机器学习'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,绩效奖金,补助'<!sp>'学习能力,领悟能力,逻辑思维能力,英语基础,沟通表达能力,专业素质良好,团队协作能力'<!sp>北京 - 海淀区 - 上地 - 上地西二旗联想北研大厦
深睿医疗研发<!sp>深度/机器学习<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'机器学习,深度学习,计算机视觉,医疗健康,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'大牛,人性化管理,靠谱团队,技术氛围好'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 彩和坊路8号天创科技科技大厦1106
云帐房大数据部<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,大数据,数据挖掘,归纳能力'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,牛CTO,竞争性福利,好平台产品'<!sp>'学习能力,创新能力,逻辑思维能力,责任心,上进心,沟通表达能力,团队协作能力'<!sp>北京市 - 东城区 - 朝阳门 - 朝阳门银河SOHO D座51102
大特保开发部<!sp>机器学习/自然语言处理<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'高级,数据挖掘,机器学习,深度学习,NLP,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'发展前景好,薪资福利优,晋升空间大,团队氛围好'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 阜通东大街18号院2号楼天启大厦二层2218
安天技术部<!sp>机器学习工程师<!sp>6k-8k<!sp>哈尔滨<!sp>经验1-3年<!sp>'算法,机器学习,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'自有技术,权益共享,福利完备,工程师文化'<!sp>'逻辑思维能力,文案能力,专业素质良好,英语基础'<!sp>哈尔滨 - 松北区 - 科技创新城7号楼
CoupangSeller Intelligence<!sp>高级数据科学家-机器学习<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'资深,机器学习,数据挖掘,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作制,补充公积金,技术自由度,国外出差'<!sp>''<!sp>上海 - 浦东新区 - 张江 - 金科路2889弄长泰广场c座7楼
闪送大数据研究院<!sp>机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'python,算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,团队旅游,弹性工时'<!sp>'学习能力,逻辑思维能力,专业素质良好,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 西北旺 - 博彦科技大厦
roobo<!sp>机器学习工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'人工智能'<!sp>1天前<!sp>拉勾网<!sp>'团队nice,期权奖励,弹性工作'<!sp>'学习能力,钻研能力,逻辑思维能力,专业素质良好,设计能力'<!sp>北京 - 东城区 - 朝阳门 - 银河soho
顶点软件福州研发中心<!sp>机器学习/深度学习/算法工...<!sp>10k-15k<!sp>福州<!sp>经验不限<!sp>'算法,机器学习,深度学习,大数据'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,餐补体检等,员工旅游,丰厚年终奖'<!sp>'逻辑思维能力,专业素质良好,学习能力'<!sp>福州 - 鼓楼区 - 铜盘 - 软件园A区13#顶点软件中心
搜狗搜索事业部<!sp>智能问答-机器学习研究员<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'机器学习,大数据,搜索,深度学习,智能硬件,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,发展空间大'<!sp>'逻辑思维能力,设计能力,专业素质良好,钻研能力,领悟能力,责任心,沟通表达能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦
百度百度<!sp>机器学习/深度学习平台高...<!sp>15k-20k<!sp>北京<!sp>经验1-3年<!sp>'社区,图像处理,数据挖掘,机器学习,深度学习,自然语言处理'<!sp>2018-01-16<!sp>拉勾网<!sp>'平台大,技术氛围好'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 西北旺东路10号院百度科技园2号楼
360企业安全<!sp>中级机器学习/数据挖掘工程师<!sp>15k-30k<!sp>珠海<!sp>经验1年以下<!sp>'云计算,算法,机器学习,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'360企业安全集团华南基地核心安全项目'<!sp>''<!sp>珠海 - 香洲区 - 人民西路 - 报业大夏
宜信大数据<!sp>机器学习<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,算法,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'行业top,加班少,六险一金,团队氛围好'<!sp>'领悟能力,逻辑思维能力,学习能力,美术功底,思想品质,团队协作能力,钻研能力,文案能力'<!sp>北京市 - 朝阳区 - 大望路 - 大望路
TalkingDataDSC<!sp>机器学习工程师J10010<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,金融,大数据,机器学习,数据分析,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'大数据,机器学习,深度学习'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 东城区 - 东直门外大街39号院2号楼京投快轨大厦608室
尚德机构研发中心<!sp>机器学习<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据挖掘,机器学习,深度学习,模式识别,反作弊,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'人工智能项目,学术交流机会多,大牛多'<!sp>'逻辑思维能力,学习能力,专业素质良好,团队协作能力'<!sp>北京 - 朝阳区 - 来广营 - 朝来科技产业园创远路36号院5号楼一层
GrowingIO<!sp>机器学习工程师<!sp>25k-45k<!sp>北京<!sp>经验5-10年<!sp>'大数据'<!sp>1天前<!sp>拉勾网<!sp>'期权激励,硅谷平等文化,技术驱动'<!sp>''<!sp>北京 - 朝阳区 - 望京 - 望京阜通东大街12号宝能中心B座10层
深思考人工智能机器人研发部<!sp>机器学习与算法工程师/研究员<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'硬件制造,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'前沿公司,大平台'<!sp>'钻研能力,学习能力,逻辑思维能力,服务意识,领悟能力,英语基础,常用办公软件的使用,创新能力,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 上地 - 上地信息路12号中关村发展大厦B座203
蚂蚁金服集团平台数据技术事业群<!sp>蚂蚁金服-推荐系统算法工...<!sp>20k-40k<!sp>杭州<!sp>经验不限<!sp>'算法,数据挖掘,机器学习,深度学习,推荐,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'金融核心,国际合作,数据驱动,新金融'<!sp>'领悟能力,主动性,学习能力,团队协作能力,逻辑思维能力,良好的职业背景,专业素质良好,沟通表达能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
无秘技术部<!sp>机器学习<!sp>25k-50k<!sp>深圳<!sp>经验3-5年<!sp>'算法,机器学习,大数据,数据挖掘,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作,周末双休,年终奖,包晚餐'<!sp>'逻辑思维能力,学习能力,专业素质良好,自我管理能力'<!sp>深圳 - 南山区 - 科技园 - 源兴科技大厦
京东金融<!sp>机器学习工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,大数据,机器学习,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'餐补+年终奖+好的晋升空间'<!sp>'设计能力,学习能力,逻辑思维能力,创新能力,领悟能力,沟通表达能力'<!sp>北京 - 通州区 - 亦庄 - 亦庄经海路京东总部
浙报集团产品研发<!sp>机器学习工程师<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'算法,机器学习,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'国企福利,最美食堂'<!sp>'文案能力,逻辑思维能力,学习能力,职业操守,美术功底,英语基础'<!sp>杭州 - 下城区 - 天水 - 体育场路178号
减约AI中心<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'高级,机器学习,深度学习,人工智能,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'行业前景,公司发展'<!sp>'逻辑思维能力,领悟能力,钻研能力,学习能力,主动性,抗压能力,责任心,工作激情,思想品质'<!sp>北京 - 朝阳区 - 望京 - 利泽中一路1号博雅国际中心A座
中诚信征信数据分析部<!sp>机器学习研究员<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'征信,金融,算法,机器学习,大数据,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'行业领导者,弹性工作制,午餐和零食,周五7小时'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 东城区 - 东四 - 礼士胡同54号
搜狗<!sp>个性化阅读-机器学习研究员<!sp>20k-40k<!sp>北京<!sp>经验5-10年<!sp>'算法,机器学习,数据挖掘,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'搜狗核心新业务,发展空间较大'<!sp>'设计能力,逻辑思维能力,学习能力,专业素质良好,领悟能力,沟通表达能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦
蚂蚁金服集团平台数据技术事业群<!sp>蚂蚁金服-搜索算法工程师/...<!sp>20k-40k<!sp>杭州<!sp>经验不限<!sp>'搜索,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'金融核心,国际合作,数据驱动,新金融'<!sp>'领悟能力,主动性,学习能力,团队协作能力,钻研能力,逻辑思维能力,创新能力,良好的职业背景,专业素质良好,沟通表达能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
驭势科技研发部<!sp>机器学习/深度学习算法工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'后端开发,算法,机器学习,视觉,深度学习,人工智能'<!sp>2018-01-17<!sp>拉勾网<!sp>'期权,合伙人制度,工作餐,补充保险'<!sp>''<!sp>北京市 - 海淀区 - 中关村 - 五道口中关村智造大街F座
小米金融<!sp>机器学习岗<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,金融,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'平台大,业务增长快,团队氛围好'<!sp>'学习能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 清河 - 毛纺路58号院3号楼
中诚信征信数据分析部<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'征信,金融,算法,机器学习,大数据,Java'<!sp>1天前<!sp>拉勾网<!sp>'行业领导者,弹性工作制,午餐和零食,周五7小时'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 东城区 - 东四 - 礼士胡同54号
科达网呈产品部<!sp>机器学习开发工程师<!sp>13k-26k<!sp>苏州<!sp>经验3-5年<!sp>'专家,资深,大数据,机器学习,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'年底多薪,交通补食堂,高温补贴,节假日津贴'<!sp>'学习能力,逻辑思维能力,钻研能力,专业素质良好'<!sp>苏州 - 高新区 - 金山路131号
石方科技研发部<!sp>机器学习工程师<!sp>18K-30K<!sp>珠海<!sp>经验1-3年<!sp>'数据分析,算法,机器学习,大数据,数据挖掘,信息安全'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年终绩效,丰富团建'<!sp>'逻辑思维能力,学习能力,钻研能力,专业素质良好,创新能力,团队协作能力,领悟能力,良好的职业背景'<!sp>珠海 - 香洲区 - 翠前南路28号联浩大厦八楼
INK 银客集团全能数据事业部——风险管理部<!sp>机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习'<!sp>2天前<!sp>拉勾网<!sp>'七险一金,16薪考核,股票期权,极客牛人'<!sp>'良好的职业背景,学习能力,逻辑思维能力,自我管理能力,团队协作能力,创新能力'<!sp>北京市 - 海淀区 - 清河 - 海淀区西小口路66号中关村东升科技园A-1号楼一层103
云南腾云云南腾云信息产业有限公司<!sp>机器学习工程师<!sp>10k-20k<!sp>昆明<!sp>经验1-3年<!sp>'机器学习,人工智能,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'腾讯控股,发展空间大,福利待遇好,领导好'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,抗压能力,责任心,沟通表达能力'<!sp>昆明 - 西山区 - 昆钢大厦
