武汉佰钧成技术有限公司专业投资者平台项目组<!sp>C++开发工程师<!sp>9k-15k<!sp>南京<!sp>经验3-5年<!sp>'C/C++,qt,GUI,图形开发'<!sp>1天前<!sp>拉勾网<!sp>'金融行业,技术前沿,加班少,小长假多'<!sp>''<!sp>南京 - 建邺区 - 兴隆 - 江东中路228号（华泰证券广场4号楼）
zilliz技术部<!sp>C++<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'专家,大数据,C++,Java'<!sp>1天前<!sp>拉勾网<!sp>'丰厚期权,行业高薪,前沿技术,精英团队'<!sp>'设计能力,文案能力,专业素质良好,沟通表达能力,学习能力'<!sp>上海市 - 徐汇区 - 徐家汇 - 嘉汇国际广场B栋3楼
云帐房技术部<!sp>C++<!sp>15K-25K<!sp>北京<!sp>经验3-5年<!sp>'C/C++,C++'<!sp>10:57<!sp>拉勾网<!sp>'C++,COM组件,MFC编程,逆向'<!sp>'设计能力,文案能力,逻辑思维能力,主动性,学习能力,抗压能力,沟通表达能力,团队协作能力'<!sp>北京 - 东城区 - 朝阳门银河SOHO D座51102
一橙科技算法<!sp>资深C++软件工程师<!sp>18k-30k<!sp>北京<!sp>经验3-5年<!sp>'C/C++,linux,算法,windows,C++,架构'<!sp>11:56<!sp>拉勾网<!sp>'有期权,有大牛,重研发,弹性工作'<!sp>'逻辑思维能力,设计能力,领导能力,专业素质良好,服务意识,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京
蜜影科技技术部<!sp>C++开发工程师<!sp>6k-9k<!sp>广州<!sp>经验不限<!sp>'C/C++,算法,C++,Java'<!sp>09:48<!sp>拉勾网<!sp>'自我实现,项目前景好,平台机会大,美女如云'<!sp>'服务意识,设计能力,文案能力,专业素质良好,逻辑思维能力,英语基础,学习能力'<!sp>广州 - 天河区 - 科韵路20号软银数码港大厦14楼
捷通华声<!sp>总工程师（C++）<!sp>25k-50k<!sp>北京<!sp>经验5-10年<!sp>'硬件制造,总监,资深,linux,C++,Java'<!sp>08:49<!sp>拉勾网<!sp>'五险一金,绩效工资,项目奖金,半年调薪'<!sp>'设计能力,逻辑思维能力,服务意识,专业素质良好,学习能力,自我管理能力'<!sp>北京 - 海淀区 - 西二旗 - 中关村软件园2A楼2101
奥可纳软件技术(上海）有限公司IT 部门<!sp>C++ 开发工程师<!sp>30k-50k<!sp>上海<!sp>经验3-5年<!sp>'软件开发,js'<!sp>1天前<!sp>拉勾网<!sp>'C++,金融科技,高性能'<!sp>''<!sp>上海 - 浦东新区 - 上钢新村 - 国展路839号
新智超脑<!sp>C++软件工程师<!sp>12k-16k<!sp>上海<!sp>经验1-3年<!sp>'C/C++,linux,C++,Java,视频'<!sp>17:34<!sp>拉勾网<!sp>'五险一金,午餐交通补贴,定期体检,带薪年假'<!sp>'文案能力,专业素质良好,设计能力,团队协作能力,主动性,抗压能力,责任心'<!sp>上海 - 杨浦区 - 政立路421号C栋1201室
谛听研发部<!sp>C++研发工程师<!sp>8k-16k<!sp>成都<!sp>经验3-5年<!sp>'高级,C/C++,linux,C++,Windows'<!sp>11:05<!sp>拉勾网<!sp>'上市公司,期权分红,员工股票,全新平台'<!sp>'逻辑思维能力,设计能力,服务意识,沟通表达能力,团队协作能力,专业素质良好'<!sp>成都 - 高新区 - 天府软件园C区11栋20楼
蚂蚁HR研发部门<!sp>C++工程师<!sp>5k-10k<!sp>武汉<!sp>经验1-3年<!sp>'初级,mfc,C/C++,windows,C++'<!sp>10:52<!sp>拉勾网<!sp>'高薪双休,美女如云,五险一金,发展空间大'<!sp>'逻辑思维能力,主动性,学习能力,抗压能力,沟通表达能力,团队协作能力'<!sp>武汉 - 洪山区 - 关山 - 光谷大道现代世贸中心A座20楼
中移在线服务有限公司IT系统部<!sp>C++开发<!sp>15k-20k<!sp>郑州<!sp>经验3-5年<!sp>'C/C++,linux,C++,教育,视频'<!sp>09:31<!sp>拉勾网<!sp>'五险一金,企业年金,带薪年假,通话餐补'<!sp>'专业素质良好,钻研能力'<!sp>郑州 - 高新区 - 郑州
绿盟科技ICS产品部<!sp>C++研发工程师<!sp>8k-10k<!sp>西安<!sp>经验1-3年<!sp>'软件开发,C++'<!sp>08:49<!sp>拉勾网<!sp>'股票期权,五险一金,餐饮补贴,弹性工作'<!sp>'学习能力,领悟能力,设计能力,专业素质良好,服务意识,主动性,责任心,沟通表达能力,团队协作能力'<!sp>西安 - 雁塔区 - 雁塔区丈八四路神州数码科技园1栋8层
紫川软件<!sp>C++开发工程师<!sp>10k-15k<!sp>深圳<!sp>经验3-5年<!sp>'mfc,C/C++,linux,算法,C++,qt'<!sp>08:24<!sp>拉勾网<!sp>'周末双休,五险一金,员工旅游'<!sp>'逻辑思维能力,设计能力,专业素质良好,沟通表达能力,学习能力'<!sp>深圳 - 福田区 - 深南中路新闻大厦
速感科技研发部<!sp>C++开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'mfc,C/C++,C++,qt'<!sp>14:12<!sp>拉勾网<!sp>'年底多薪,免费午晚饭,技术大牛,团建多多'<!sp>'文案能力,抗压能力,学习能力,工作激情,专业素质良好,逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 知春路 - 知春路23号量子银座
