众易汇科技金融部<!sp>理财顾问<!sp>6k-8k<!sp>成都<!sp>经验不限<!sp>'理财,金融,银行,销售,理财顾问,信贷'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,五险一金,高额提成,各种补助'<!sp>'熟悉法律法规,团队协作能力,沟通表达能力,逻辑思维能力,应变能力'<!sp>成都 - 锦江区 - 牛王庙 - 芷泉街6号时代1号
东方证券零售业务部<!sp>理财顾问<!sp>6k-8k<!sp>天津<!sp>经验1-3年<!sp>'理财,金融,基金,证券'<!sp>2018-01-16<!sp>拉勾网<!sp>'带薪年假,五险两金,福利补贴,公司培训'<!sp>'服务意识,思想品质,团队协作能力,学习能力'<!sp>天津 - 南开区 - 鼓楼 - 南马路1201号邮电公寓北门中国联通底商东方证券
纽狐科技信息有限公司市场部<!sp>理财顾问<!sp>8k-10k<!sp>广州<!sp>经验不限<!sp>'理财,实习,顾问,投资,助理,旅游'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,全勤奖,节日福利,专业培训'<!sp>'沟通表达能力,抗压能力,责任心,开拓精神'<!sp>广州 - 花都区 - 新华 - 广州市花都区广州市花都区迎宾大道163高晟广场806
中融宝运营部<!sp>理财顾问<!sp>4k-8k<!sp>济南<!sp>经验不限<!sp>'理财,金融,电话,在线'<!sp>2018-01-08<!sp>拉勾网<!sp>'高薪,双休,绩效提成,升职快'<!sp>'沟通表达能力,团队协作能力,学习能力,应变能力,性格好,领悟能力,主动性,责任心'<!sp>济南 - 历下区 - 黑虎泉 - 泉城路世茂国际大厦B座-11楼-1104
陆羽财富理财部<!sp>理财顾问<!sp>8k-10k<!sp>上海<!sp>经验不限<!sp>'理财,金融'<!sp>2017-12-29<!sp>拉勾网<!sp>'节日福利,生日福利,周末双休'<!sp>'沟通表达能力,团队协作能力,工作激情,思想品质,性格好,上进心'<!sp>上海 - 徐汇区 - 日晖 - 小木桥路
集金号金融事业部<!sp>理财顾问<!sp>4k-8k<!sp>杭州<!sp>经验不限<!sp>'理财,金融,证券,电话,销售,实习生'<!sp>2018-01-16<!sp>拉勾网<!sp>'五险一金,周末双休,带薪年假,餐补'<!sp>'领导能力,吃苦耐劳'<!sp>杭州 - 西湖区 - 西溪 - 文一西路98号数娱大厦5楼
康宏理财市场部<!sp>理财顾问<!sp>12k-24k<!sp>广州<!sp>经验不限<!sp>'理财,金融,基金,理财顾问,顾问'<!sp>2018-01-15<!sp>拉勾网<!sp>'超甲级写字楼,亚洲最大的IFA公司'<!sp>'服务意识,沟通表达能力,逻辑思维能力,公关能力,执行能力,团队协作能力,学习能力,创新能力'<!sp>广州 - 天河区 - 沙河 - 兴民路222号天盈广场31楼3101室
中融宝运营部<!sp>理财顾问<!sp>4k-8k<!sp>济南<!sp>经验不限<!sp>'理财,电话,在线,顾问,销售,客户代表'<!sp>2018-01-08<!sp>拉勾网<!sp>'高薪,双休,升职快'<!sp>'沟通表达能力,团队协作能力,学习能力,应变能力,性格好,领悟能力,主动性,责任心'<!sp>济南 - 历下区 - 黑虎泉 - 泉城路世茂国际大厦B座-11楼-1104
巨谷基金业务部<!sp>理财顾问<!sp>6k-8k<!sp>广州<!sp>经验1-3年<!sp>'理财,金融,市场,顾问,p2p'<!sp>2018-01-15<!sp>拉勾网<!sp>'交通便利,五险一金,丰厚提成,免费培训'<!sp>'责任心,逻辑思维能力,服务意识,团队协作能力,沟通表达能力,人际交往能力,人脉资源'<!sp>广州 - 天河区 - 珠江新城 - 华穗路406号保利克洛维中景大厦B座1901
空中金融运营中心<!sp>理财顾问<!sp>5k-10k<!sp>上海<!sp>经验不限<!sp>'理财,金融,顾问,销售,客户代表'<!sp>1天前<!sp>拉勾网<!sp>'12天年假,补充医疗保'<!sp>'服务意识,沟通表达能力,思想品质'<!sp>上海 - 浦东新区 - 张江 - 达尔文路88号半岛科技园
善林金融财富管理部<!sp>理财顾问/理财经理<!sp>5k-8k<!sp>广州<!sp>经验不限<!sp>'理财,金融,企业,销售,客户代表'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,五险一金,年休假,弹性工作'<!sp>'逻辑思维能力,责任心,熟悉法律法规'<!sp>广州 - 白云区 - 金沙 - 环洲二路63号金程广场208（地铁6号线沙贝A1出口）
财富中国十一营业部理财部<!sp>理财顾问<!sp>5k-10k<!sp>重庆<!sp>经验不限<!sp>'理财,金融,基金,顾问,信贷,理财顾问'<!sp>2017-12-25<!sp>拉勾网<!sp>'底4000,员工旅游,五险一金,绩效奖金'<!sp>'服务意识,开拓精神,团队协作能力,文案能力,沟通表达能力,学习能力'<!sp>重庆 - 渝中区 - 解放碑 - 环球金融中心27楼
钱景直销部<!sp>理财顾问<!sp>3k-6k<!sp>北京<!sp>经验不限<!sp>'理财,金融,银行,证券,顾问,旅游'<!sp>2018-01-19<!sp>拉勾网<!sp>'五险一金,带薪年假,绩效奖金,节假日福利'<!sp>'服务意识,学习能力,主动性,领导能力,责任心,沟通表达能力,亲和力,团队协作能力,专业素质良好'<!sp>北京 - 海淀区 - 中关村 - 海淀黄庄丹棱soho 10层1008号
千世代资产管理海外部<!sp>独立理财顾问（IFA）<!sp>3k-6k<!sp>深圳<!sp>经验不限<!sp>'理财,金融,投资,理财顾问,资产管理,旅游'<!sp>2天前<!sp>拉勾网<!sp>'专业培训,弹性工作,专才引进,衣食住行补'<!sp>'专业素质良好,沟通表达能力,思想品质,形象气质佳,人脉资源,学习能力'<!sp>深圳 - 福田区 - 车公庙 - 车公庙金润大厦12E
工银安盛渠道销售部<!sp>理财顾问<!sp>8K-15K<!sp>重庆<!sp>经验不限<!sp>'理财,主管,经理,顾问,合伙人,规划师'<!sp>3天前<!sp>拉勾网<!sp>'福利待遇全行业最高'<!sp>'工作激情'<!sp>重庆 - 渝中区 - 解放碑 - 解放碑五一路99号协信星光广场B座12层
有利网在线营销事业部<!sp>高级理财顾问<!sp>8k-16k<!sp>北京<!sp>经验1-3年<!sp>'理财,金融,销售,顾问,理财顾问'<!sp>13:59<!sp>拉勾网<!sp>'大平台,良性盈利,扁平管理,高提点'<!sp>'沟通表达能力,团队协作能力,常用办公软件的使用,形象气质佳'<!sp>北京 - 海淀区 - 中关村 - 丹棱街甲1号互联网金融中心17层
中国平安<!sp>理财顾问<!sp>10K-20K<!sp>广州<!sp>经验1-3年<!sp>'理财,理财顾问,顾问'<!sp>2018-01-17<!sp>拉勾网<!sp>'你的未来取决于你对待工作的态度和用心程度'<!sp>'服务意识,沟通表达能力,逻辑思维能力,专业素质良好'<!sp>广州 - 海珠区 - 新港 - 新港东路148号环球国际大厦5楼
恒昌财富广分第一分公司业务部<!sp>理财顾问<!sp>4k-8k<!sp>广州<!sp>经验不限<!sp>'理财,顾问,外企,旅游'<!sp>2018-01-16<!sp>拉勾网<!sp>'成长空间大,平台广阔,行业发展快,升职加薪快'<!sp>'团队协作能力,学习能力,服务意识,逻辑思维能力'<!sp>广州 - 天河区 - 珠江新城 - 珠江西路5号广州国际金融中心2109
寰益投资咨询PAM顾问部<!sp>理财顾问<!sp>5k-10k<!sp>上海<!sp>经验1-3年<!sp>'理财,金融,基金,顾问,销售,投资管理'<!sp>2018-01-18<!sp>拉勾网<!sp>'员工福利,带薪年假,年轻化团队,发展好'<!sp>'服务意识,主动性,逻辑思维能力,人脉资源,专业素质良好,团队协作能力,责任心,沟通表达能力'<!sp>上海 - 徐汇区 - 徐家汇 - 漕溪北路88号
