今日头条<!sp>Python 研发工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'后端开发'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,高薪期权,弹性工作,免费三餐,租房补贴,带薪休假,扁平管理,职业大牛,晋升空间'<!sp>'设计能力,创新能力,专业素质良好,领悟能力,逻辑思维能力,服务意识,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 北京市海淀区知春路63号中国卫星通信大厦
SendCloud<!sp>Python开发工程师<!sp>8k-12k<!sp>武汉<!sp>经验不限<!sp>'云计算,Python,Java'<!sp>14:34<!sp>拉勾网<!sp>'六险一金,年度体检,加班补助,年度旅游等'<!sp>'设计能力,逻辑思维能力,专业素质良好,主动性,责任心,学习能力'<!sp>武汉 - 东湖新技术开发区 - 大学园路武大科技园航域二区B3栋1418
Veeva研发部<!sp>Python工程师<!sp>15k-20k<!sp>北京<!sp>经验1-3年<!sp>'初级,后端开发,web,云计算,Python,架构'<!sp>10:32<!sp>拉勾网<!sp>'纽交所上市,云计算,SaaS,生命科学'<!sp>''<!sp>北京市 - 朝阳区 - 燕莎 - 平安国际金融中心
北蚁研发部<!sp>python工程师<!sp>8k-12k<!sp>武汉<!sp>经验3-5年<!sp>'MySQL,python,linux,信息安全,架构,电商'<!sp>10:26<!sp>拉勾网<!sp>'五险一金,员工旅游,休闲餐点,扁平管理'<!sp>'设计能力,专业素质良好,逻辑思维能力,主动性,学习能力,责任心,沟通表达能力,团队协作能力'<!sp>武汉 - 东湖新技术开发区 - 武汉力源信息技术股份有限公司（金融港对面）
康通技术中心<!sp>Python工程师<!sp>7K-14K<!sp>长沙<!sp>经验1-3年<!sp>'python,算法,软件开发,机器学习'<!sp>14:27<!sp>拉勾网<!sp>'五险一金,亲属关爱金,免费中晚餐,福利齐全'<!sp>'设计能力,逻辑思维能力,文案能力,学习能力'<!sp>长沙 - 芙蓉区 - 张公岭 - 雄天路1号金丹大厦B座6-7层
ZingFront智线技术部<!sp>Python中级工程师<!sp>8k-15k<!sp>廊坊<!sp>经验1-3年<!sp>'分布式,Python,Java,架构'<!sp>11:17<!sp>拉勾网<!sp>'五险一金,补充医疗险,房租补贴,带薪年假'<!sp>'专业素质良好,逻辑思维能力,设计能力,学习能力,团队协作能力'<!sp>廊坊 - 广阳区 - 华航西校区e创空间4层
DAOCLOUDSDG<!sp>Python开发工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'云计算,Python,linux,Java'<!sp>10:35<!sp>拉勾网<!sp>'大牛环绕,弹性工作,福利优厚'<!sp>'逻辑思维能力,团队协作能力,文案能力'<!sp>上海 - 杨浦区 - 新江湾城 - 绿地双创中心
江山如画网络科技研发部<!sp>python开发工程师<!sp>8k-16k<!sp>北京<!sp>经验1-3年<!sp>'web,MySQL,服务器端,云计算,Python,php'<!sp>10:20<!sp>拉勾网<!sp>'提供住宿,一日三餐,晋升空间,紫牛基金投'<!sp>''<!sp>北京 - 海淀区 - 永定路 - 复兴路甲38号
10com项目部<!sp>Python工程师<!sp>10k-20k<!sp>厦门<!sp>经验3-5年<!sp>'资深,python,云计算,大数据,Java'<!sp>10:01<!sp>拉勾网<!sp>'弹性工作,扁平管理,家属福利,五险一金'<!sp>'逻辑思维能力,专业素质良好,英语基础,主动性,设计能力'<!sp>厦门 - 思明区 - 开元 - 厦禾路189号厦门银行中心2701
知乎社区平台部<!sp>Python开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'高级,Java,架构'<!sp>2天前<!sp>拉勾网<!sp>'薪资优厚,氛围宽松,每日三餐,六险一金'<!sp>'设计能力,领导能力,领悟能力,逻辑思维能力,专业素质良好'<!sp>北京 - 海淀区 - 五道口 - 学院路甲 5 号 768 创意园 A 座西区 1-002
楼盘网技术部<!sp>python中级开发工程师<!sp>6k-10k<!sp>长沙<!sp>经验1-3年<!sp>'中级,python,云计算,爬虫,Java'<!sp>17:44<!sp>拉勾网<!sp>'互联网行业,朝九晚五,2次加薪,五险'<!sp>'设计能力,沟通表达能力,团队协作能力'<!sp>长沙 - 天心区 - 涂家冲 - 长沙市天心区黄土岭新时空大厦五楼（地铁1号线黄土岭站2号出口）
