赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
家园网质量保障部<!sp>性能测试工程师<!sp>14k-22k<!sp>北京<!sp>经验3-5年<!sp>'python,性能测试,Java,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'股票期权,绩效奖金'<!sp>'设计能力,逻辑思维能力,学习能力,文案能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座金色家园网
八维通科技测试部<!sp>测试<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'资深,支付,QA,信息安全,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'牛人多,伙伴多,公司稳定,待遇好'<!sp>'逻辑思维能力,执行能力,领悟能力,常用办公软件的使用,抗压能力,责任心,沟通表达能力,团队协作能力'<!sp>杭州 - 滨江区 - 东冠大厦20层
西安华炎科技IT<!sp>手动、白盒测试<!sp>10k-14k<!sp>北京<!sp>经验3-5年<!sp>'测试,白盒,安全测试,接口,信息安全,脚本'<!sp>2018-01-04<!sp>拉勾网<!sp>'白盒,手动'<!sp>'执行能力,文案能力,思想品质,沟通表达能力,抗压能力'<!sp>北京 - 海淀区 - 北京大学 - 科学院南路2号融科资讯中心C座北楼11层
中软系统工程河南研发中心<!sp>测试<!sp>8k-15k<!sp>郑州<!sp>经验3-5年<!sp>'测试,Java,自动化'<!sp>1天前<!sp>拉勾网<!sp>'竞争力薪酬,福利完善,国企,国家项目'<!sp>'领悟能力,逻辑思维能力,设计能力,执行能力,领导能力,专业素质良好,常用办公软件的使用,抗压能力,沟通表达能力,团队协作能力,学习能力'<!sp>郑州 - 郑东新区 - 龙子湖
丁香园专业服务部<!sp>测试工程师<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'测试,Java,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'工作氛围好'<!sp>'逻辑思维能力,文案能力,执行能力,设计能力,抗压能力,思想品质,责任心'<!sp>杭州市市市 - 滨江区 - 长河 - 江虹路 611 号上峰电商产业园3号楼3楼
浙江执御信息技术有限公司技术部门<!sp>性能测试<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'高级,中级,linux,测试,性能测试,安全测试'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间,年终奖金,技术大牛,旅游活动'<!sp>'逻辑思维能力,设计能力,执行能力,专业素质良好,文案能力,主动性,抗压能力,责任心,团队协作能力'<!sp>杭州市市市 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
新移传媒测试部<!sp>测试工程师<!sp>10k-16k<!sp>杭州<!sp>经验1-3年<!sp>'媒体,QA,信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'央媒平台,景区环境,团队给力,双休福利好'<!sp>'设计能力,文案能力,逻辑思维能力,专业素质良好,领悟能力,沟通表达能力,团队协作能力,思想品质'<!sp>杭州 - 上城区 - 复兴路 - 山南基金小镇白云路28号(杭州陶瓷品市场/八卦田)
泛微研发团队<!sp>软件测试<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'web,测试,黑盒,功能测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'半年调薪,免费三餐,福利待遇佳,平台大'<!sp>'执行能力,设计能力,专业素质良好,逻辑思维能力,文案能力,领悟能力,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
北京盛安德上海分公司<!sp>软件测试<!sp>10k-15k<!sp>杭州<!sp>经验5-10年<!sp>'linux,QA,软件测试,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'阿里巴巴工作,云测试项目,薪资待遇优'<!sp>'领悟能力,专业素质良好,文案能力,设计能力,抗压能力,英语基础'<!sp>杭州 - 西湖区 - 云栖小镇
新移传媒测试部<!sp>测试主管<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'高级,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'央媒平台,景区环境,核心项目,福利齐全'<!sp>'领悟能力,团队协作能力,设计能力,领导能力,专业素质良好,文案能力,逻辑思维能力,学习能力,主动性,沟通表达能力'<!sp>杭州 - 上城区 - 复兴路 - 山南基金小镇白云路28号(杭州陶瓷品市场/八卦田)
