赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
有鱼金融科技测试部<!sp>测试（徐汇区）<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'中级,黑盒,app,功能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'公司福利好,业务前景佳,接触范围广'<!sp>'逻辑思维能力,设计能力,执行能力,文案能力,主动性,沟通表达能力,学习能力,团队协作能力,钻研能力'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
链家上海研发中心<!sp>测试工程师<!sp>7k-11k<!sp>上海<!sp>经验1-3年<!sp>'测试'<!sp>2天前<!sp>拉勾网<!sp>'成长空间大,学习氛围好'<!sp>'良好的职业背景,专业素质良好,逻辑思维能力,主动性,责任心'<!sp>上海 - 静安区 - 吴江路 - 南京西路699号东方有线大厦30楼
合诚技术部<!sp>测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'高级,中级,自动化,测试,脚本'<!sp>2天前<!sp>拉勾网<!sp>'福利待遇好,工作稳定'<!sp>'文案能力,领导能力,领悟能力,专业素质良好,抗压能力,沟通表达能力,学习能力,团队协作能力,钻研能力'<!sp>上海 - 浦东新区 - 唐镇 - 来安路500号兴业银行
泛微泛微<!sp>软件测试工程师<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'web,测试,黑盒,功能测试,性能测试,旅游'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,免费三餐,半年调薪,员工旅游'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力,熟悉法律法规'<!sp>上海 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
江苏亿科达平安<!sp>测试工程师<!sp>8k-14k<!sp>上海<!sp>经验3-5年<!sp>'web,自动化,测试,黑盒,app,接口'<!sp>1天前<!sp>拉勾网<!sp>'年终,体检,旅游,过节费'<!sp>'逻辑思维能力,设计能力,文案能力,专业素质良好,主动性,责任心,沟通表达能力,团队协作能力'<!sp>上海市 - 浦东新区 - 陆家嘴 - 上海市浦东新区福山路455号全华信息大厦
微拍堂测试部<!sp>测试开发工程师<!sp>14k-20k<!sp>杭州<!sp>经验3-5年<!sp>'自动化,测试,性能测试,压力测试,接口测试,UI自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,周末双休,弹性工作,14薪'<!sp>'设计能力,文案能力,专业素质良好,学习能力,抗压能力,主动性,团队协作能力,钻研能力,责任心,沟通表达能力'<!sp>杭州 - 西湖区 - 西湖 - 文三路408号中电大楼
大思教育IT部<!sp>软件测试工程师<!sp>8k-10k<!sp>广州<!sp>经验1-3年<!sp>'软件测试,功能测试,性能测试,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,绩效奖金,节日福利,员工旅游'<!sp>'逻辑思维能力,思想品质,团队协作能力,沟通表达能力,学习能力,专业素质良好,执行能力,职业操守'<!sp>广州 - 天河区 - 五山路1号华晟大厦1308
阿拉丁信息科技技术部<!sp>测试工程师<!sp>8k-14k<!sp>杭州<!sp>经验3-5年<!sp>'中级,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'福利好,补贴多,年终奖,扁平化'<!sp>'文案能力,执行能力,逻辑思维能力,抗压能力'<!sp>杭州 - 滨江区 - 江陵路2028号星耀城1号楼2302
锦峰智能化事业部<!sp>白盒及自动化测试<!sp>8k-15k<!sp>广州<!sp>经验3-5年<!sp>'白盒,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,部门美女多'<!sp>'文案能力,执行能力'<!sp>广州 - 天河区 - 沙河 - 珠江新城华夏路8号合景国际金融广场32楼
家园网<!sp>测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'14薪,免费水果咖啡,各种补助'<!sp>'设计能力,文案能力,执行能力,专业素质良好,主动性,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠家园5号楼首东国际A座7层
有鱼金融科技研发部<!sp>软件测试<!sp>6k-9k<!sp>上海<!sp>经验1-3年<!sp>'app,软件,黑盒,手动,测试'<!sp>1天前<!sp>拉勾网<!sp>'无限发挥,快来和牛逼的团队一起战斗！'<!sp>'设计能力,执行能力,逻辑思维能力,文案能力,专业素质良好,主动性,团队协作能力'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号A座5层
个推质量保障部<!sp>测试（一）<!sp>10k-15k<!sp>杭州<!sp>经验1-3年<!sp>'企业服务,中级,自动化,测试,性能测试,安全测试'<!sp>1天前<!sp>拉勾网<!sp>'互联网独角兽,16-18薪'<!sp>'设计能力,钻研能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 古墩路 - 西斗门路福地创业园
云沃客技术部<!sp>测试工程师<!sp>8k-12k<!sp>杭州<!sp>经验1-3年<!sp>'web,QA,app,测试,脚本,自动化'<!sp>3天前<!sp>拉勾网<!sp>'待遇好'<!sp>'专业素质良好,文案能力,主动性,沟通表达能力,学习能力'<!sp>杭州 - 西湖区 - 三墩 - 石祥西路859号
有利网研发中心<!sp>APP白盒测试工程师<!sp>12k-22k<!sp>北京<!sp>经验3-5年<!sp>'白盒,app,测试,脚本,自动化'<!sp>2018-01-17<!sp>拉勾网<!sp>'六险一金,弹性工时,平台好,发展潜力'<!sp>'设计能力,文案能力,执行能力,沟通表达能力,抗压能力,责任心,学习能力'<!sp>北京 - 海淀区 - 中关村 - 丹棱街甲1号互联网金融中心17层
爱可生融合业务中心<!sp>测试主管<!sp>13k-25k<!sp>上海<!sp>经验3-5年<!sp>'高级,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'新三板,技术大牛,餐补,团建'<!sp>'设计能力,文案能力,沟通表达能力,逻辑思维能力,执行能力,专业素质良好,领导能力,团队协作能力,思想品质,责任心,上进心'<!sp>上海 - 徐汇区 - 虹梅路1905号甲楼4层(远中科研楼）
兑吧技术部<!sp>测试主管<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'资深,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'全员出国游,发展空间大,技术牛人多,零食下午茶'<!sp>'领导能力,团队协作能力,设计能力,文案能力,专业素质良好,逻辑思维能力,学习能力,主动性,沟通表达能力,领悟能力'<!sp>杭州 - 西湖区 - 古墩路 - 州市文一西路98号数娱大厦702室
健培研发部<!sp>测试工程师<!sp>8k-11k<!sp>杭州<!sp>经验1-3年<!sp>'黑盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'双休,高薪,带薪年假,定期旅游'<!sp>'文案能力,逻辑思维能力'<!sp>杭州 - 江干区 - 下沙 - 下沙经济开发区3号大街3号（杭州银行对面）
ARKie研发部<!sp>测试工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'自动化,测试,功能测试,性能测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'人工智能,大牛带飞'<!sp>'抗压能力'<!sp>上海 - 黄浦区 - 成都南路142弄6号
泛微测试部门<!sp>软件测试工程师<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'web,测试,黑盒,功能测试'<!sp>2天前<!sp>拉勾网<!sp>'半年调薪,上市公司,项目奖金,绩效奖金'<!sp>'执行能力,设计能力,专业素质良好,逻辑思维能力,文案能力,领悟能力,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
江苏亿科达项目部<!sp>测试工程师<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'初级,金融,证券,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,过节费,旅游,体检'<!sp>'吃苦耐劳,工作激情,学习能力'<!sp>上海 - 徐汇区 - 凯滨路206号
动景集团星视度科技<!sp>测试工程师<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'QA,测试'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,交通补贴,午餐补贴,节日福利'<!sp>'领悟能力,沟通表达能力,设计能力,文案能力,思想品质,团队协作能力'<!sp>上海 - 浦东新区 - 八佰伴 - 浦东南路1118号10层
备胎控股集团备胎好车<!sp>测试经理<!sp>14k-20k<!sp>杭州<!sp>经验5-10年<!sp>'总监,资深,高级,自动化,测试,app'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围,公司前景,发展平台,公司环境'<!sp>'团队协作能力,设计能力,创新能力,主动性,服务意识,沟通表达能力,专业素质良好,文案能力,责任心'<!sp>杭州 - 拱墅区 - 祥园路88号中国智慧信息产业园N幢10楼
准动网络科技研发部<!sp>测试工程师<!sp>6k-10k<!sp>厦门<!sp>经验1-3年<!sp>'iOS,测试,系统,app,Java'<!sp>1天前<!sp>拉勾网<!sp>'最新科技,精英团队,行业领先,好福利'<!sp>'文案能力,执行能力,逻辑思维能力,设计能力,领悟能力,主动性,沟通表达能力,专业素质良好,责任心,团队协作能力'<!sp>厦门 - 思明区 - 中航紫金广场A塔36层
爱财集团大数据部<!sp>测试工程师<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'游戏,测试,系统分析,Java'<!sp>1天前<!sp>拉勾网<!sp>'上升空间大'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,常用办公软件的使用'<!sp>杭州 - 余杭区 - 仓前 - 绿汀路21-28号西溪堂商务中心1幢4-13楼
端点科技研发中心<!sp>测试总监<!sp>30k-60k<!sp>杭州<!sp>经验5-10年<!sp>'专家,总监,信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,团建活动'<!sp>''<!sp>杭州 - 西湖区 - 河山路中大银座4号楼3楼
草料二维码运维部<!sp>软件测试工程师<!sp>8k-15k<!sp>宁波<!sp>经验1-3年<!sp>'QA,功能测试,性能测试,安全测试,产品,测试'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,公司福利棒,发展机会多,扁平化管理'<!sp>'设计能力,文案能力,执行能力,沟通表达能力,逻辑思维能力,思想品质,责任心,领悟能力,团队协作能力,学习能力'<!sp>宁波 - 海曙区 - 西门 - 翠柏路89号宁波工程学院A座14楼
浙江冰峰天天项目组<!sp>测试专员<!sp>4k-5k<!sp>杭州<!sp>经验不限<!sp>'中级,初级,测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,绩效奖金,带薪年假'<!sp>'文案能力,常用办公软件的使用,责任心,思想品质,上进心,学习能力'<!sp>杭州 - 滨江区 - 江南 - 滨盛路1688号明豪大厦22楼
德惟科技互金<!sp>软件测试<!sp>9k-15k<!sp>天津<!sp>经验3-5年<!sp>'MySQL,linux,测试,自动化'<!sp>2天前<!sp>拉勾网<!sp>'交通便利,团队大型,技术牛人多'<!sp>'设计能力,文案能力,逻辑思维能力,主动性,学习能力'<!sp>天津 - 河西区 - 平安大厦A座(马场道)
连帆科技软件研发中心<!sp>测试主管<!sp>15k-25k<!sp>杭州<!sp>经验5-10年<!sp>'资深,测试主管,测试'<!sp>1天前<!sp>拉勾网<!sp>'公司前景好,扁平化管理,团队优秀'<!sp>'领悟能力,团队协作能力,设计能力,领导能力,专业素质良好,文案能力,逻辑思维能力,学习能力,主动性,沟通表达能力'<!sp>杭州 - 西湖区 - 浙江省杭州市西湖区灯彩街567号华彩国际4幢10层
星榕基研发中心<!sp>测试工程师<!sp>5k-10k<!sp>福州<!sp>经验1-3年<!sp>'QA,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,定期体检,团队建设'<!sp>'逻辑思维能力,设计能力,文案能力,专业素质良好,执行能力,责任心,沟通表达能力,团队协作能力'<!sp>福州 - 鼓楼区 - 梅峰 - 梅峰路302号华信培训中心
浙江小融网络科技股份有限公司测试中心<!sp>测试主管<!sp>15k-25k<!sp>杭州<!sp>经验5-10年<!sp>'高级,金融,QA,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,年底多薪'<!sp>'团队协作能力,领导能力,逻辑思维能力,执行能力,专业素质良好,抗压能力,责任心,沟通表达能力'<!sp>杭州 - 西湖区 - 西溪 - 古墩路87号浙商财富中心3号楼12楼
武汉佰钧成技术有限公司研发部<!sp>测试工程师<!sp>8k-10k<!sp>武汉<!sp>经验1-3年<!sp>'web,QA,信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'高薪,高质量团队,大牛多,六险一金'<!sp>'逻辑思维能力,设计能力,文案能力,主动性,专业素质良好'<!sp>武汉 - 武昌区 - 武汉软件新城A1-4F
卡宝宝技术部<!sp>测试主管<!sp>8k-16k<!sp>广州<!sp>经验3-5年<!sp>'高级,web,自动化,app,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'双休,五险一金,带薪年假,年终奖'<!sp>'领悟能力,逻辑思维能力,设计能力,执行能力,创新能力,文案能力,专业素质良好,良好的职业背景,主动性,钻研能力,应变能力,团队协作能力,责任心,沟通表达能力,学习能力'<!sp>- 广州市萝岗区科学大道162号创意大厦B1栋4楼
泛微系统架构部<!sp>性能测试工程师<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'信息安全,Java,旅游,测试'<!sp>2天前<!sp>拉勾网<!sp>'三餐福利,绩效奖金,年终奖,上市公司'<!sp>'设计能力,专业素质良好,文案能力,逻辑思维能力,抗压能力,执行能力,常用办公软件的使用,责任心,熟悉法律法规'<!sp>上海市 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
江苏亿科达平安银行<!sp>测试工程师<!sp>7k-12k<!sp>上海<!sp>经验1-3年<!sp>'移动端,测试,接口,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,旅游、体检,生日礼金,过节福利'<!sp>''<!sp>上海 - 徐汇区 - 斜土路 - 龙华中路凯滨路206号
众匠，you选产品研发中心——测试部<!sp>中高级测试<!sp>10k-15k<!sp>杭州<!sp>经验3-5年<!sp>'高级,中级,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'美女多,活动丰富,平台发展,团队氛围'<!sp>'逻辑思维能力,设计能力,执行能力,专业素质良好,主动性,学习能力,责任心,沟通表达能力,团队协作能力'<!sp>杭州 - 江干区 - 九环路9号浙江省国家大学科技园C座10楼
销冠科技技术部<!sp>测试工程师<!sp>8k-15k<!sp>杭州<!sp>经验3-5年<!sp>'测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'年底多薪,季度奖金,餐补房补,过节礼金'<!sp>'文案能力,沟通表达能力,专业素质良好,逻辑思维能力,主动性,责任心,性格好'<!sp>- 钱江路58号
老虎证券技术<!sp>测试开发<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'python,金融,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,超多假期'<!sp>'文案能力,逻辑思维能力,服务意识,主动性,专业素质良好,沟通表达能力,学习能力'<!sp>北京 - 朝阳区 - 燕莎 - 东三环北路3号中远幸福大厦
信领达<!sp>测试工程师<!sp>8k-16k<!sp>杭州<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,期权,下午茶'<!sp>'逻辑思维能力,执行能力,常用办公软件的使用,抗压能力,责任心,沟通表达能力,团队协作能力'<!sp>杭州市 - 西湖区 - 东新路 - 翠柏路7号电子商务产业园106室
腾展叮咚（Dingtone）测试部<!sp>测试开发工程师<!sp>7k-12k<!sp>杭州<!sp>经验1年以下<!sp>'初级,iOS,自动化,移动端,Android,测试'<!sp>1天前<!sp>拉勾网<!sp>'全球化产品,上市公司,股权激励,节日福利'<!sp>'逻辑思维能力,设计能力,执行能力,创新能力,抗压能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 文三路 - 万塘路252号计量大厦
酷家乐研发部<!sp>测试工程师<!sp>12k-23k<!sp>杭州<!sp>经验不限<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'全球最具创新体验的VR智能室内设计平台'<!sp>'逻辑思维能力,设计能力,执行能力,文案能力,常用办公软件的使用'<!sp>杭州市市市 - 拱墅区 - 西溪 - 矩阵国际1号楼10-13F
驻云测试团队<!sp>测试开发工程师<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'中级,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'平台大,发展快,福利多'<!sp>'逻辑思维能力,服务意识,设计能力,执行能力,专业素质良好,文案能力,抗压能力,主动性,团队协作能力,思想品质'<!sp>上海 - 浦东新区 - 张江 - 上海市浦东新区科苑路399号张江创新园7号楼
杭州悠可IT管理中心<!sp>测试工程师<!sp>5k-10k<!sp>杭州<!sp>经验不限<!sp>'测试,黑盒,功能测试,电商'<!sp>1天前<!sp>拉勾网<!sp>'氛围好,领导背景好,晋升空间大'<!sp>''<!sp>杭州 - 江干区 - 下沙 - 下沙经济开发区6号大街21号路口600号浙江海创园6幢1楼
源犀科技研发部<!sp>测试工程师<!sp>10k-15k<!sp>南京<!sp>经验1-3年<!sp>'Jmeter,loadrunner,性能测试,压力测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'配MAC,年假12天,六险一金,双休'<!sp>'设计能力,逻辑思维能力,抗压能力,执行能力,专业素质良好,责任心,沟通表达能力,团队协作能力'<!sp>南京 - 雨花台区 - 东山 - 金阳东街万科都荟国际六楼V03室
汉雅星空文化科技有限公司技术中心<!sp>测试工程师<!sp>4k-7k<!sp>长沙<!sp>经验不限<!sp>'linux,测试,自动化,测试工程师'<!sp>1天前<!sp>拉勾网<!sp>'周末双休·,五险一金,节假日福利'<!sp>'服务意识,学习能力,吃苦耐劳,沟通表达能力,团队协作能力,文案能力,英语基础,专业素质良好'<!sp>长沙 - 岳麓区 - 玉兰路 - 玉兰路2号湘邮科技园4楼
有鱼金融科技测试部<!sp>测试<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'高级,QA,黑盒,app,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,五险一金,团队氛围好'<!sp>'逻辑思维能力,设计能力,执行能力,创新能力,领悟能力,思想品质,钻研能力,沟通表达能力,学习能力'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
新移传媒测试部<!sp>测试经理<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'高级,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'央媒平台,景区环境,核心项目,福利齐全'<!sp>'领悟能力,团队协作能力,设计能力,领导能力,专业素质良好,文案能力,逻辑思维能力,学习能力,主动性,沟通表达能力'<!sp>杭州 - 上城区 - 复兴路 - 山南基金小镇白云路28号(杭州陶瓷品市场/八卦田)
UU跑腿测试部<!sp>软件测试<!sp>6k-8k<!sp>郑州<!sp>经验3-5年<!sp>'功能测试,测试,自动化'<!sp>2天前<!sp>拉勾网<!sp>'节日福利,带薪年假,五险一金,下午茶'<!sp>'专业素质良好,沟通表达能力,设计能力,执行能力,文案能力,逻辑思维能力,思想品质,学习能力'<!sp>郑州市市市 - 金水区 - CBD - 商务外环与东一街交叉口格拉姆大厦A座26层
钛马车联网工程中心<!sp>测试工程师<!sp>8k-15k<!sp>南昌<!sp>经验3-5年<!sp>'资深,高级,自动化,测试,功能测试,性能测试'<!sp>2天前<!sp>拉勾网<!sp>'行业领先,项目奖金,弹性工作,年度体检'<!sp>'设计能力,执行能力,抗压能力,文案能力,专业素质良好'<!sp>南昌 - 南昌县 - 南昌县小蓝经济开发区振铃南路1号
合诚技术部<!sp>测试工程师<!sp>7k-10k<!sp>福州<!sp>经验3-5年<!sp>'高级,中级,支付,测试,系统分析'<!sp>2天前<!sp>拉勾网<!sp>'福利待遇好,工作稳定'<!sp>'文案能力'<!sp>福州 - 鼓楼区 - 工业路611号高新科技创业园1号楼5层
麦萌漫画研发<!sp>测试工程师<!sp>4k-8k<!sp>上海<!sp>经验1-3年<!sp>'游戏,测试,脚本,自动化'<!sp>2天前<!sp>拉勾网<!sp>'性能测试,测试,BUG'<!sp>'文案能力,沟通表达能力,学习能力,美术创作能力,工作激情'<!sp>上海 - 虹口区 - 花园路128号运动LOFT创意基地1街区A座2楼
帮帮测产品部<!sp>产品测试<!sp>4k-8k<!sp>长沙<!sp>经验1-3年<!sp>'QA,白盒,黑盒,app,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,扁平化管理,加班补助,福利优厚'<!sp>'设计能力,文案能力,执行能力,沟通表达能力,逻辑思维能力,思想品质,抗压能力,主动性,团队协作能力'<!sp>长沙 - 岳麓区 - 银盆岭 - 绿地中央广场
易快报研发部<!sp>高级测试工程师<!sp>8k-15k<!sp>南京<!sp>经验3-5年<!sp>'高级,中级,测试,功能测试,性能测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'行业好,平台广,发展大,弹性工作'<!sp>'设计能力,执行能力,逻辑思维能力,专业素质良好'<!sp>南京 - 建邺区 - 奥体大街69号新城科技大厦01幢803室
榆钱金融测试部<!sp>测试开发岗<!sp>8k-15k<!sp>武汉<!sp>经验5-10年<!sp>'理财,资深,支付,信息安全,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'扁平管理,美女多,空间大,大牛多'<!sp>'设计能力,专业素质良好,执行能力'<!sp>武汉 - 武昌区 - 中南路 - 中商广场写字楼
无端科技技术部<!sp>测试leader<!sp>20k-25k<!sp>杭州<!sp>经验3-5年<!sp>'游戏,资深,高级,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'扁平管理,五险一金,周末双休,下午茶'<!sp>'逻辑思维能力,设计能力,文案能力,领导能力,沟通表达能力'<!sp>杭州 - 西湖区 - 上宁巷1号建华创业园8幢2楼
金证股份大客户服务部<!sp>测试工程师<!sp>7k-13k<!sp>济南<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'金融上市公司'<!sp>''<!sp>济南 - 市中区 - 经七路68号中泰证券大厦10楼1003室
骏嘉财通售后部<!sp>软件测试工程师<!sp>4k-6k<!sp>青岛<!sp>经验1-3年<!sp>'初级,ERP,技术支持,运维,测试'<!sp>1天前<!sp>拉勾网<!sp>'提供住宿,带薪培训,无收费,常驻青岛'<!sp>'专业素质良好,逻辑思维能力,能出差,文案能力,思想品质,团队协作能力'<!sp>青岛市南区：江西路78号华普会馆
MAKA技术部<!sp>测试工程师<!sp>4k-6k<!sp>广州<!sp>经验1-3年<!sp>'移动互联网,web,Java,医疗健康,旅游,测试'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,员工旅游,六险一金,带薪年假'<!sp>''<!sp>广州 - 海珠区 - 新港 - 新港中路397号TIT创意园创意东路八号MAKA
大圣live产品研发中心<!sp>测试<!sp>6k-9k<!sp>广州<!sp>经验1-3年<!sp>'初级,测试,app,功能测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'鹅厂投资,大牛团队,优质项目,游戏直播'<!sp>'执行能力,专业素质良好,钻研能力,设计能力'<!sp>广州市 - 越秀区 - 东风 - 东风东路761号丽丰中心
有鱼金融科技研发部<!sp>APP测试<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'移动端,黑盒,手动,测试'<!sp>1天前<!sp>拉勾网<!sp>'发展方向：,团队leader、产品负责人'<!sp>'设计能力,执行能力,逻辑思维能力,文案能力,主动性,专业素质良好,团队协作能力'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
个推<!sp>测试工程师<!sp>10k-16k<!sp>杭州<!sp>经验1-3年<!sp>'QA,测试,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'技术氛围,有爱同事,公司前景,成长空间'<!sp>'设计能力,执行能力,逻辑思维能力,文案能力,思想品质,责任心,沟通表达能力'<!sp>杭州 - 西湖区 - 西溪 - 西斗门路9号福地创业园二期1号楼四楼
果雪科技技术中心<!sp>测试开发工程师<!sp>14k-20k<!sp>上海<!sp>经验1-3年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛,奖金丰厚,补充医疗,弹性工作'<!sp>'服务意识,设计能力,团队协作能力,主动性,创新能力,文案能力,执行能力,钻研能力,思想品质,学习能力'<!sp>上海 - 闵行区 - 漕宝路 - 宝龙城 T5栋
车满满研发中心<!sp>测试工程师<!sp>6k-10k<!sp>济南<!sp>经验1-3年<!sp>'QA,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,绩效奖金,年底三薪,发展空间大'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,沟通表达能力,思想品质,责任心,上进心,团队协作能力'<!sp>济南 - 高新区 - 舜泰广场2号楼
认识医生技术部<!sp>测试经理<!sp>15k-20k<!sp>杭州<!sp>经验3-5年<!sp>'资深,自动化,测试,功能测试,压力测试,回归测试'<!sp>2天前<!sp>拉勾网<!sp>'环境好,发展空间大,团队氛围好,不打卡'<!sp>''<!sp>杭州 - 余杭区 - 余杭区文一西路1818-2号中国人工智能小镇8幢503-505
Coding测试部<!sp>高级测试工程师<!sp>10k-20k<!sp>深圳<!sp>经验不限<!sp>'python,自动化,测试,功能测试,性能测试,安全测试'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大,薪资丰厚,氛围好,双休'<!sp>'逻辑思维能力,服务意识,设计能力,执行能力,团队协作能力,主动性,钻研能力,领悟能力'<!sp>深圳 - 南山区 - 科技园方大大厦 1701
包银消费金融信息科技部<!sp>高级测试工程师J10051<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'金融,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,定期团建,节日福利'<!sp>'良好的职业背景,团队协作能力,沟通表达能力'<!sp>北京 - 朝阳区 - 北四环东路干杨树甲16号首华大厦9层
阿米巴测试部<!sp>软件测试（汕头）<!sp>3k-6k<!sp>汕头<!sp>经验3-5年<!sp>'高级,中级,初级,php,测试,app'<!sp>1天前<!sp>拉勾网<!sp>'技术大咖多,团队棒,工作氛围好,很nice'<!sp>'思想品质,创新能力,团队协作能力'<!sp>汕头 - 龙湖区 - 建设 - 金砂东路奋发园主楼501
大思教育IT部<!sp>软件测试工程师<!sp>8k-10k<!sp>广州<!sp>经验1-3年<!sp>'测试,软件测试,功能测试,性能测试,安全测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,双休,员工活动,绩效奖金'<!sp>'逻辑思维能力,思想品质,团队协作能力,沟通表达能力,学习能力,专业素质良好,执行能力,职业操守'<!sp>广州 - 天河区 - 五山路1号华晟大厦1308
博云测试部<!sp>测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'web,python,自动化,Shell,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,绩效奖金,加班补助,带薪年假'<!sp>'文案能力'<!sp>上海市 - 浦东新区 - 唐镇 - 唐镇顾唐路1699号
丁香园专业服务部<!sp>测试主管<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间大'<!sp>'团队协作能力,执行能力,领导能力,专业素质良好,抗压能力,责任心,沟通表达能力'<!sp>杭州市市市 - 滨江区 - 长河 - 江虹路 611 号上峰电商产业园3号楼3楼
