武汉物易云通网络科技清结算部<!sp>清结算专员<!sp>3k-4k<!sp>武汉<!sp>经验1-3年<!sp>'结算'<!sp>09:29<!sp>拉勾网<!sp>'五险一金'<!sp>'学习能力,执行能力,责任心,沟通表达能力,团队协作能力'<!sp>武汉 - 武昌区 - 中北路 - 汉街总部国际C座8楼
火球科技财务<!sp>结算专员<!sp>6k-8k<!sp>杭州<!sp>经验1-3年<!sp>'支付,运营,结算,会计,财务,电商'<!sp>2018-01-09<!sp>拉勾网<!sp>'顶级环境,年轻团队,快速成长'<!sp>'逻辑思维能力,团队协作能力,主动性,思想品质,责任心,执行能力'<!sp>杭州 - 西湖区 - 西溪 - 中节能 西溪首座A5
链钱集团财务<!sp>结算专员<!sp>4k-7k<!sp>杭州<!sp>经验不限<!sp>'理财,金融,支付,风控,结算,财务'<!sp>2017-12-29<!sp>拉勾网<!sp>'五险一金,平台稳定,晋升机会大'<!sp>'逻辑思维能力,抗压能力,沟通表达能力,学习能力'<!sp>杭州 - 西湖区 - 文三路 - 学院路28号德力西大厦3号楼3楼
小猪短租<!sp>结算专员<!sp>6k-8k<!sp>北京<!sp>经验不限<!sp>'订单,审核,结算'<!sp>1天前<!sp>拉勾网<!sp>'友爱的团队,扁平化管理'<!sp>'责任心,思想品质,学习能力'<!sp>北京 - 海淀区 - 知春路 - 知春路56号院星光大道西区8号楼
玖富集团资产交易部<!sp>清结算主管<!sp>8k-12k<!sp>北京<!sp>经验1-3年<!sp>'金融,结算,清结算,系统对账'<!sp>1天前<!sp>拉勾网<!sp>'平台发展空间大,六险一金、绩效奖金'<!sp>'常用办公软件的使用,逻辑思维能力,思想品质,责任心,沟通表达能力,团队协作能力,主动性,抗压能力,专业素质良好,创新能力'<!sp>北京 - 朝阳区 - 前门 - 望京西大街望京SOHO塔三座40层
敦煌网财务部<!sp>清结算专员<!sp>5k-6k<!sp>北京<!sp>经验1-3年<!sp>'金融,支付,银行,风控,财务,清算'<!sp>09:59<!sp>拉勾网<!sp>'弹性工作,五险一金,定期体检,节日福利'<!sp>'熟悉法律法规,执行能力,沟通表达能力,专业素质良好,常用办公软件的使用,抗压能力,责任心,思想品质,学习能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口 - 成府路28号优盛大厦A座8层
会分期财务部<!sp>结算组长<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'金融,支付,运营,结算,会计,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,平台稳定,节日福利'<!sp>'专业素质良好,设计能力,常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质'<!sp>北京 - 海淀区 - 西二旗 - 上地东路1号院华控大厦8层会分期
INK 银客集团融时代<!sp>结算专员<!sp>6k-10k<!sp>北京<!sp>经验1-3年<!sp>'金融,银行,结算,财务,电商'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作'<!sp>'专业素质良好,常用办公软件的使用,服务意识,团队协作能力,抗压能力,思想品质'<!sp>北京 - 朝阳区 - 朝外 - 万通中心D座12层
携程<!sp>结算专员<!sp>7k-9k<!sp>上海<!sp>经验1-3年<!sp>'统计,结算,数据分析,清算,旅游'<!sp>1天前<!sp>拉勾网<!sp>'旅游大佬等你来呦～～'<!sp>'逻辑思维能力,沟通表达能力,思想品质,英语基础,常用办公软件的使用'<!sp>上海 - 长宁区 - 北新泾 - 金钟路968号SOHO大楼
闪贷超人财务部<!sp>结算主管<!sp>8k-12k<!sp>杭州<!sp>经验3-5年<!sp>'金融,支付,银行,结算,数据分析,电商'<!sp>2017-12-29<!sp>拉勾网<!sp>'五险一金,弹性工作时,零食文化'<!sp>'逻辑思维能力,熟悉法律法规,常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质,工作激情,领导能力'<!sp>杭州 - 滨江区 - 西兴 - 滨江区
宜信财务部与结算中心<!sp>结算专员<!sp>5k-6k<!sp>北京<!sp>经验1-3年<!sp>'金融,支付,结算,数据分析,财务'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,年终奖金'<!sp>'沟通表达能力,领悟能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 华贸 - 西大望路1号温特莱中心
霖梓网络清结算部<!sp>清结算专员<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'金融,支付,银行,结算,财务'<!sp>2017-12-27<!sp>拉勾网<!sp>'五险一金,节假日福利,餐补交补'<!sp>'沟通表达能力,常用办公软件的使用,逻辑思维能力,服务意识,团队协作能力,主动性,思想品质,抗压能力,责任心'<!sp>杭州 - 滨江区 - 西兴 - 星光时代15楼1507-1508
饿了么物流研发部<!sp>清结算架构师<!sp>20k-40k<!sp>上海<!sp>经验5-10年<!sp>'后端开发,系统架构,Java'<!sp>2天前<!sp>拉勾网<!sp>'平台成长期,挑战大。'<!sp>'领悟能力,设计能力,团队协作能力,钻研能力,学习能力,逻辑思维能力,专业素质良好,服务意识,创新能力,领导能力,责任心,沟通表达能力'<!sp>上海 - 普陀区 - 长征 - 金沙江路1518弄近铁城市广场4/5/10/16层
青柠互动财务部<!sp>结算专员<!sp>5k-8k<!sp>深圳<!sp>经验1-3年<!sp>'AR,结算,财务,电商'<!sp>2018-01-10<!sp>拉勾网<!sp>'五险一金,每日下午茶,周末双休,年终奖励'<!sp>'沟通表达能力,常用办公软件的使用'<!sp>深圳 - 南山区 - a8音乐大厦18楼
资产360结算中心<!sp>结算专员<!sp>4k-6k<!sp>北京<!sp>经验不限<!sp>'金融,风控,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,弹性工作时,自助午餐'<!sp>'思想品质,抗压能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 团结湖 - 农展馆南路13号瑞辰国际中心3层307
随行付支付有限公司资金管理部<!sp>清结算实习生<!sp>2k-4k<!sp>北京<!sp>经验1年以下<!sp>'银行,统计,税务,财务,实习生'<!sp>1天前<!sp>拉勾网<!sp>'专业指导,薪资+补助,免费班车,发展空间大'<!sp>'逻辑思维能力,常用办公软件的使用,思想品质,沟通表达能力,领悟能力,团队协作能力,学习能力'<!sp>北京 - 石景山区 - 苹果园 - 实兴大街30号院西山汇16号楼15层（班车）
小米MIUI<!sp>数据结算<!sp>12k-24k<!sp>北京<!sp>经验1-3年<!sp>'数据'<!sp>2天前<!sp>拉勾网<!sp>'发展空间大,绩效激励,每日餐补,每日下午茶'<!sp>'逻辑思维能力,主动性,执行能力,抗压能力,责任心,学习能力,团队协作能力,沟通表达能力'<!sp>北京 - 海淀区 - 清河 - 清上园东路一号小米六期
云智惠线上运营部<!sp>结算专员<!sp>6k-8k<!sp>北京<!sp>经验1-3年<!sp>'理财,运营,审核,结算,财务'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,补充医疗,年终奖,带薪年假'<!sp>'沟通表达能力,逻辑思维能力,主动性,专业素质良好,思想品质,领悟能力'<!sp>北京 - 朝阳区 - 东方梅地亚中心C座1001
小康财务部<!sp>结算员<!sp>3K-5K<!sp>重庆<!sp>经验1-3年<!sp>'结算'<!sp>2018-01-15<!sp>拉勾网<!sp>'五天8小时,双休制。五险一金,年休假'<!sp>''<!sp>重庆 - 长寿区 - - 菩提山下
红上金融运营部<!sp>结算专员<!sp>4k-6k<!sp>北京<!sp>经验1-3年<!sp>'金融,支付,审核,风控,结算'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,带薪年假,免费零食,领导nic'<!sp>'常用办公软件的使用,逻辑思维能力,文案能力,思想品质,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>北京 - 东城区 - 王府井 - 东方广场w1座
