数美研发部<!sp>推荐算法<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'金融,算法,数据挖掘,机器学习,深度学习,大数据'<!sp>12:20<!sp>拉勾网<!sp>'期权奖励,商业保险,大佬领投,待遇给力'<!sp>'服务意识,学习能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
蚂蜂窝数据部<!sp>推荐算法工程师<!sp>20k-30k<!sp>北京<!sp>经验1-3年<!sp>'算法'<!sp>09:51<!sp>拉勾网<!sp>'海量数据,亿级用户,技术大牛'<!sp>'设计能力,逻辑思维能力,文案能力,沟通表达能力,执行能力'<!sp>北京 - 朝阳区 - 酒仙桥
一下科技媒体产品部<!sp>推荐算法<!sp>25k-45k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,推荐,NLP,视频'<!sp>09:03<!sp>拉勾网<!sp>'行业top,发展空间'<!sp>'专业素质良好,逻辑思维能力,设计能力,学习能力,领导能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 浦项中心A座31层
携程<!sp>推荐算法工程师<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'算法,数据挖掘,推荐,机器学习'<!sp>10:15<!sp>拉勾网<!sp>'大平台,福利好,发展空间大'<!sp>'逻辑思维能力,设计能力,学习能力,常用办公软件的使用,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 长宁区 - 北新泾 - 金钟路968号凌空SOHO携程旅行网(新总部)
拼多多研发部<!sp>推荐系统工程师/专家<!sp>20k-40k<!sp>上海<!sp>经验1-3年<!sp>'后端开发,分布式,云计算,Java'<!sp>19:15<!sp>拉勾网<!sp>'大牛团队,氛围好'<!sp>'服务意识,设计能力,逻辑思维能力,专业素质良好,学习能力,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 长宁区 - 天山路 - 娄山关路533号金虹桥国际中心28楼北楼
小红书技术部门<!sp>推荐/搜索系统后台研发工程师<!sp>20k-35k<!sp>北京<!sp>经验不限<!sp>'搜索,算法,云计算,推荐,系统架构'<!sp>09:20<!sp>拉勾网<!sp>'福利,多薪,大牛,发展'<!sp>'设计能力,领悟能力,逻辑思维能力'<!sp>工作地址
大宇无限后台开发部门<!sp>推荐系统开发工程师<!sp>14k-28k<!sp>深圳<!sp>经验1-3年<!sp>'中级,后端开发,Java,Python,大数据'<!sp>2018-01-17<!sp>拉勾网<!sp>'扁平化,广阔平台,业务发展快,工程师文化'<!sp>''<!sp>深圳 - 南山区 - 科技园比克科技大厦
小米智能云<!sp>推荐系统工程师<!sp>17k-34k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,机器学习,数据挖掘,深度学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'期权激动,核心团队'<!sp>''<!sp>北京市 - 海淀区 - 清河 - 安宁庄东路72号科利源大厦
Yi+算法<!sp>推荐算法<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,推荐,反作弊,大数据,数据分析'<!sp>11:15<!sp>拉勾网<!sp>'股票期权,技术大牛,晋升空间,弹性工作'<!sp>'专业素质良好,设计能力,逻辑思维能力,学习能力'<!sp>北京 - 海淀区 - 中关村 - 丹棱街6号中关村金融大厦
数美杭州研发中心<!sp>推荐算法工程师<!sp>20k-40k<!sp>杭州<!sp>经验1-3年<!sp>'搜索,金融,算法,数据挖掘,大数据,数据分析'<!sp>12:20<!sp>拉勾网<!sp>'行业大咖,自由开放,Geek'<!sp>'服务意识,学习能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>杭州 - 余杭区 - 东西大道
